Date_ms;response_time_ms;rtd_no
137.676;37.67;1
234.539;34.537;1
329.519;29.517;1
426.493;26.491;1
537.574;37.573;1
634.505;34.503;1
729.514;29.513;1
826.49;26.488;1
937.502;37.5;1
1034.5;34.5;1
1129.56;29.555;1
1226.51;26.508;1
1337.5;37.498;1
1434.47;34.467;1
1530.53;30.529;1
1626.48;26.483;1
1737.49;37.493;1
1834.49;34.493;1
1929.62;29.616;1
2027.57;27.57;1
2137.46;37.461;1
2234.57;34.564;1
2329.61;29.612;1
2426.48;26.475;1
2537.46;37.458;1
2634.46;34.458;1
2729.44;29.442;1
2826.47;26.472;1
2937.46;37.455;1
3034.46;34.454;1
3129.44;29.439;1
3226.57;26.572;1
3337.45;37.451;1
3434.48;34.476;1
3529.44;29.437;1
3626.57;26.57;1
3737.47;37.472;1
3834.59;34.584;1
3929.43;29.433;1
4027.45;27.449;1
4137.45;37.445;1
4234.52;34.514;1
4329.43;29.429;1
4426.56;26.562;1
4537.47;37.467;1
4634.58;34.577;1
4729.43;29.424;1
4826.43;26.426;1
4937.58;37.574;1
5034.58;34.574;1
5130.44;30.444;1
5226.43;26.423;1
5337.44;37.435;1
5434.57;34.571;1
5529.42;29.421;1
5626.42;26.418;1
5737.57;37.568;1
5834.43;34.432;1
5929.45;29.451;1
6026.42;26.416;1
6137.57;37.564;1
6234.53;34.53;1
6329.68;29.682;1
6426.45;26.448;1
6537.4;37.398;1
6634.4;34.395;1
6729.41;29.411;1
6826.41;26.411;1
6937.39;37.392;1
7034.39;34.392;1
7129.4;29.404;1
7226.44;26.442;1
7337.39;37.388;1
7434.39;34.388;1
7529.54;29.54;1
7626.4;26.403;1
7737.39;37.383;1
7834.39;34.386;1
7930.39;30.392;1
8026.43;26.424;1
8137.38;37.382;1
8234.38;34.382;1
8330.36;30.359;1
8426.53;26.533;1
8538.4;38.397;1
8634.38;34.378;1
8729.4;29.393;1
8827.36;27.357;1
8938.47;38.47;1
9034.38;34.378;1
9129.36;29.36;1
9226.36;26.36;1
9337.37;37.373;1
9434.37;34.373;1
9530.35;30.35;1
9626.36;26.358;1
9738.5;38.498;1
9834.4;34.399;1
9929.36;29.354;1
10027.3;27.347;1
10138.4;38.386;1
10235.5;35.508;1
10332.5;32.495;1
10429.4;29.384;1
10538.4;38.386;1
10635.6;35.641;1
10732.3;32.324;1
10829.3;29.324;1
10938.3;38.322;1
11035.5;35.473;1
11132.3;32.322;1
11229.3;29.322;1
11338.3;38.319;1
11435.5;35.499;1
11532.7;32.685;1
11629.3;29.317;1
11738.3;38.316;1
11836.3;36.334;1
11932.3;32.315;1
12029.3;29.315;1
12138.3;38.312;1
12235.7;35.69;1
12332.3;32.308;1
12429.3;29.312;1
12538.3;38.308;1
12635.5;35.489;1
12732.3;32.306;1
12829.3;29.308;1
12938.3;38.306;1
13035.5;35.456;1
13133.3;33.324;1
13229.3;29.305;1
13339.3;39.323;1
13435.5;35.448;1
13532.3;32.302;1
13629.3;29.302;1
13738.3;38.299;1
13835.5;35.449;1
13932.3;32.297;1
14029.3;29.301;1
14138.3;38.295;1
14235.4;35.445;1
14332.3;32.294;1
14429.3;29.296;1
14538.4;38.43;1
14635.4;35.443;1
14732.4;32.437;1
14829.3;29.261;1
14938.3;38.326;1
15035.4;35.438;1
15132.4;32.396;1
15229.4;29.425;1
15338.3;38.346;1
15435.4;35.437;1
15532.3;32.255;1
15629.3;29.256;1
15738.4;38.354;1
15835.4;35.433;1
15932.3;32.252;1
16029.3;29.252;1
16138.3;38.249;1
16235.4;35.43;1
16332.3;32.25;1
16429.3;29.249;1
16538.2;38.246;1
16635.5;35.462;1
16732.2;32.246;1
16829.2;29.245;1
16938.2;38.243;1
17035.5;35.533;1
17132.2;32.213;1
17229.4;29.423;1
17338.2;38.239;1
17435.4;35.391;1
17532.2;32.211;1
17629.2;29.238;1
17738.2;38.238;1
17835.4;35.357;1
17932.2;32.207;1
18029.2;29.234;1
18138.2;38.228;1
18235.4;35.353;1
18332.2;32.226;1
18429.2;29.233;1
18538.2;38.225;1
18635.4;35.382;1
18732.2;32.224;1
18829.2;29.23;1
18939.2;39.221;1
19035.3;35.347;1
19132.3;32.333;1
19229.3;29.299;1
19338.2;38.221;1
19435.4;35.413;1
19532.2;32.221;1
19629.2;29.194;1
19738.2;38.192;1
19835.4;35.364;1
19932.3;32.327;1
20029.3;29.255;1
