Packet_Num,Time,Source,Destination,Protocol,Length
"8","31.530196","192.168.20.2","192.168.3.101","TCP","74"
"9","31.530218","192.168.20.2","192.168.3.101","TCP","74"
"10","31.530228","192.168.20.2","192.168.3.101","TCP","74"
"11","31.530238","192.168.20.2","192.168.3.101","TCP","74"
"12","31.530248","192.168.20.2","192.168.3.101","TCP","74"
"13","31.530274","192.168.20.2","192.168.3.101","TCP","74"
"16","31.530603","192.168.3.101","192.168.20.2","TCP","74"
"17","31.530628","192.168.3.101","192.168.20.2","TCP","74"
"18","31.530639","192.168.3.101","192.168.20.2","TCP","74"
"19","31.530648","192.168.3.101","192.168.20.2","TCP","74"
"20","31.530655","192.168.3.101","192.168.20.2","TCP","74"
"21","31.530663","192.168.3.101","192.168.20.2","TCP","74"
"22","31.552079","192.168.20.2","192.168.3.101","TCP","66"
"23","31.560101","192.168.20.2","192.168.3.101","TCP","66"
"24","31.56014","192.168.20.2","192.168.3.101","TCP","66"
"25","31.560151","192.168.20.2","192.168.3.101","TCP","66"
"26","31.560175","192.168.20.2","192.168.3.101","TCP","66"
"27","31.560184","192.168.20.2","192.168.3.101","TCP","66"
"33","32.002043","192.168.20.2","192.168.3.101","TCP","74"
"34","32.00228","192.168.3.101","192.168.20.2","TCP","74"
"35","32.008021","192.168.20.2","192.168.3.101","TCP","74"
"36","32.00822","192.168.3.101","192.168.20.2","TCP","74"
"37","32.022031","192.168.20.2","192.168.3.101","TCP","66"
"38","32.030337","192.168.20.2","192.168.3.101","HTTP","414"
"39","32.030356","192.168.20.2","192.168.3.101","TCP","66"
"40","32.030366","192.168.20.2","192.168.3.101","HTTP","409"
"41","32.030516","192.168.3.101","192.168.20.2","TCP","66"
"42","32.030545","192.168.3.101","192.168.20.2","TCP","66"
"43","32.030567","192.168.3.101","192.168.20.2","TCP","83"
"44","32.030907","192.168.3.101","192.168.20.2","TCP","83"
"45","32.0522","192.168.20.2","192.168.3.101","TCP","66"
"46","32.052398","192.168.3.101","192.168.20.2","HTTP","240"
"47","32.059971","192.168.20.2","192.168.3.101","TCP","66"
"48","32.060063","192.168.3.101","192.168.20.2","HTTP","218"
"49","32.072025","192.168.20.2","192.168.3.101","TCP","66"
"50","32.082019","192.168.20.2","192.168.3.101","TCP","66"
"51","32.090103","192.168.20.2","192.168.3.101","HTTP","415"
"52","32.090371","192.168.3.101","192.168.20.2","TCP","83"
"53","32.144128","192.168.20.2","192.168.3.101","TCP","66"
"54","32.144335","192.168.3.101","192.168.20.2","HTTP","238"
"55","32.170988","192.168.20.2","192.168.3.101","TCP","66"
"56","32.179252","192.168.20.2","192.168.3.101","TCP","586"
"57","32.180315","192.168.20.2","192.168.3.101","TCP","1514"
"58","32.180508","192.168.3.101","192.168.20.2","TCP","66"
"59","32.182049","192.168.20.2","192.168.3.101","HTTP","1351"
"60","32.186201","192.168.3.101","192.168.20.2","TCP","83"
"61","32.18624","192.168.3.101","192.168.20.2","TCP","2962"
"62","32.246794","192.168.3.101","192.168.20.2","HTTP","600"
"63","32.252048","192.168.20.2","192.168.3.101","TCP","66"
"64","32.280073","192.168.20.2","192.168.3.101","TCP","78"
"65","32.280323","192.168.3.101","192.168.20.2","TCP","1514"
"66","32.310006","192.168.20.2","192.168.3.101","TCP","78"
"67","32.310227","192.168.3.101","192.168.20.2","TCP","1514"
"68","32.332038","192.168.20.2","192.168.3.101","TCP","66"
"69","32.340086","192.168.20.2","192.168.3.101","HTTP","443"
"70","32.340339","192.168.3.101","192.168.20.2","TCP","83"
"72","32.399107","192.168.20.2","192.168.3.101","TCP","66"
"73","32.399331","192.168.3.101","192.168.20.2","HTTP","1108"
"74","32.42204","192.168.20.2","192.168.3.101","TCP","66"
"83","32.63427","192.168.20.2","192.168.3.101","STUN","142"
"84","32.634721","192.168.3.101","192.168.20.2","STUN","106"
"85","32.642131","192.168.20.2","192.168.3.101","TCP","74"
"88","32.642319","192.168.3.101","192.168.20.2","TCP","74"
"91","32.645493","192.168.3.101","192.168.20.2","STUN","138"
"92","32.661998","192.168.20.2","192.168.3.101","TCP","66"
"93","32.670004","192.168.20.2","192.168.3.101","STUN","106"
"95","32.689997","192.168.20.2","192.168.3.101","STUN","142"
"96","32.690248","192.168.3.101","192.168.20.2","STUN","106"
"97","32.693425","192.168.3.101","192.168.20.2","STUN","138"
"99","32.74168","192.168.3.101","192.168.20.2","STUN","138"
"100","32.779462","192.168.20.2","192.168.3.101","DTLSv1.2","659"
"101","32.779484","192.168.20.2","192.168.3.101","STUN","106"
"102","32.779493","192.168.20.2","192.168.3.101","STUN","142"
"104","32.779514","192.168.20.2","192.168.3.101","STUN","106"
"106","32.780559","192.168.3.101","192.168.20.2","DTLSv1.2","588"
"107","32.780579","192.168.3.101","192.168.20.2","STUN","106"
"108","32.810346","192.168.20.2","192.168.3.101","DTLSv1.2","612"
"109","32.810358","192.168.20.2","192.168.3.101","DTLSv1.2","179"
"111","32.813293","192.168.3.101","192.168.20.2","DTLSv1.2","123"
"112","32.813309","192.168.3.101","192.168.20.2","DTLSv1.2","379"
"114","32.840375","192.168.20.2","192.168.3.101","DTLSv1.2","435"
"115","32.840381","192.168.20.2","192.168.3.101","DTLSv1.2","435"
"119","32.840793","192.168.3.101","192.168.20.2","DTLSv1.2","435"
"120","32.840805","192.168.3.101","192.168.20.2","DTLSv1.2","111"
"121","32.840894","192.168.3.101","192.168.20.2","DTLSv1.2","111"
"122","32.840903","192.168.3.101","192.168.20.2","DTLSv1.2","131"
"123","32.870179","192.168.20.2","192.168.3.101","DTLSv1.2","111"
"124","32.870195","192.168.20.2","192.168.3.101","DTLSv1.2","127"
"125","32.870202","192.168.20.2","192.168.3.101","DTLSv1.2","147"
"126","32.870534","192.168.3.101","192.168.20.2","DTLSv1.2","107"
"135","33.031557","192.168.3.101","192.168.20.2","TCP","66"
"137","33.092007","192.168.20.2","192.168.3.101","TCP","66"
"147","33.320161","192.168.20.2","192.168.3.101","UDP","64"
"149","33.34077","192.168.3.101","192.168.20.2","TCP","66"
"151","33.402058","192.168.20.2","192.168.3.101","TCP","66"
"162","33.681118","192.168.20.2","192.168.3.101","STUN","142"
"163","33.681459","192.168.3.101","192.168.20.2","STUN","106"
"167","33.789515","192.168.3.101","192.168.20.2","STUN","138"
"169","33.820062","192.168.20.2","192.168.3.101","STUN","106"
"178","33.952039","192.168.20.2","192.168.3.101","UDP","64"
"186","34.2088","192.168.3.101","192.168.20.2","UDP","112"
"187","34.211274","192.168.3.101","192.168.20.2","UDP","300"
"188","34.213375","192.168.3.101","192.168.20.2","UDP","1150"
"189","34.223534","192.168.3.101","192.168.20.2","UDP","1150"
"192","34.233636","192.168.3.101","192.168.20.2","UDP","1150"
"193","34.243741","192.168.3.101","192.168.20.2","UDP","1150"
"195","34.253777","192.168.3.101","192.168.20.2","UDP","300"
"196","34.253799","192.168.3.101","192.168.20.2","UDP","1150"
"197","34.259851","192.168.3.101","192.168.20.2","UDP","1150"
"198","34.265004","192.168.3.101","192.168.20.2","UDP","1150"
"199","34.270135","192.168.3.101","192.168.20.2","UDP","1150"
"200","34.275241","192.168.3.101","192.168.20.2","UDP","1150"
"202","34.280057","192.168.20.2","192.168.3.101","UDP","84"
"205","34.330211","192.168.20.2","192.168.3.101","UDP","84"
"207","34.341085","192.168.3.101","192.168.20.2","UDP","1150"
"208","34.346183","192.168.3.101","192.168.20.2","UDP","1150"
"209","34.351207","192.168.3.101","192.168.20.2","UDP","1150"
"210","34.351238","192.168.3.101","192.168.20.2","UDP","1150"
"211","34.356311","192.168.3.101","192.168.20.2","UDP","1150"
"212","34.361399","192.168.3.101","192.168.20.2","UDP","1151"
"213","34.366503","192.168.3.101","192.168.20.2","UDP","1151"
"214","34.371606","192.168.3.101","192.168.20.2","UDP","1151"
"215","34.376618","192.168.3.101","192.168.20.2","UDP","1151"
"217","34.380051","192.168.20.2","192.168.3.101","UDP","80"
"218","34.381721","192.168.3.101","192.168.20.2","UDP","1151"
"219","34.386827","192.168.3.101","192.168.20.2","UDP","1151"
"220","34.391848","192.168.3.101","192.168.20.2","UDP","1151"
"221","34.396957","192.168.3.101","192.168.20.2","UDP","1151"
"224","34.442044","192.168.20.2","192.168.3.101","UDP","92"
"226","34.524028","192.168.20.2","192.168.3.101","UDP","112"
"230","34.613084","192.168.20.2","192.168.3.101","STUN","142"
"231","34.613427","192.168.3.101","192.168.20.2","STUN","106"
"240","34.741746","192.168.3.102","192.168.20.3","SIP","352"
"244","34.771299","192.168.20.3","192.168.3.102","SIP","402"
"245","34.771317","192.168.20.3","192.168.3.102","SIP","402"
"246","34.771612","192.168.3.102","192.168.20.3","SIP","344"
"247","34.794581","192.168.3.101","192.168.20.2","STUN","138"
"251","34.832253","192.168.20.4","192.168.3.103","TCP","74"
"252","34.832462","192.168.3.103","192.168.20.4","TCP","74"
"254","34.833435","192.168.3.102","192.168.20.3","SIP","352"
"257","34.854078","192.168.20.4","192.168.3.103","TCP","66"
"258","34.861997","192.168.20.4","192.168.3.103","HTTP","168"
"259","34.862147","192.168.3.103","192.168.20.4","TCP","66"
"260","34.862321","192.168.3.103","192.168.20.4","TCP","304"
"261","34.862344","192.168.3.103","192.168.20.4","HTTP","681"
"262","34.864003","192.168.20.2","192.168.3.101","STUN","106"
"263","34.868192","192.168.20.3","192.168.3.102","SIP","402"
"264","34.86821","192.168.20.3","192.168.3.102","SIP","402"
"265","34.868479","192.168.3.102","192.168.20.3","SIP","344"
"266","34.884049","192.168.20.4","192.168.3.103","TCP","66"
"268","34.892016","192.168.20.4","192.168.3.103","TCP","66"
"274","34.899985","192.168.20.4","192.168.3.103","TCP","66"
"275","34.900137","192.168.3.103","192.168.20.4","TCP","66"
"276","34.924076","192.168.20.4","192.168.3.103","TCP","66"
"277","34.937978","192.168.3.101","192.168.20.2","UDP","1172"
"278","34.938015","192.168.3.101","192.168.20.2","UDP","1172"
"280","34.941511","192.168.3.102","192.168.20.3","SIP","352"
"282","34.94306","192.168.3.101","192.168.20.2","UDP","1173"
