Date_ms;response_time_ms;rtd_no
126.4;26.396;1
238.262;38.26;1
328.391;28.389;1
438.41;38.408;1
528.238;28.236;1
638.257;38.255;1
728.321;28.319;1
838.296;38.294;1
928.294;28.293;1
1038.29;38.285;1
1128.25;28.246;1
1239.8;39.799;1
1328.23;28.23;1
1438.25;38.248;1
1528.35;28.346;1
1638.4;38.399;1
1728.23;28.227;1
1838.28;38.281;1
1928.21;28.211;1
2039.03;39.028;1
2128.22;28.223;1
2238.38;38.379;1
2328.21;28.206;1
2438.23;38.226;1
2528.22;28.221;1
2638.31;38.31;1
2728.24;28.234;1
2838.23;38.224;1
2928.22;28.218;1
3038.38;38.375;1
3129.55;29.548;1
3238.22;38.219;1
3328.22;28.214;1
3439.79;39.792;1
3528.2;28.197;1
3638.21;38.213;1
3728.35;28.347;1
3838.3;38.301;1
3928.22;28.224;1
4038.22;38.214;1
4128.35;28.343;1
4238.23;38.228;1
4328.36;28.358;1
4438.21;38.21;1
4528.27;28.273;1
4638.23;38.224;1
4728.19;28.185;1
4838.21;38.207;1
4928.2;28.201;1
5039.75;39.747;1
5128.19;28.183;1
5239.67;39.67;1
5328.2;28.198;1
5438.22;38.218;1
5528.18;28.178;1
5638.2;38.203;1
5728.33;28.332;1
5838.24;38.24;1
5928.18;28.175;1
6038.94;38.944;1
6128.33;28.328;1
6239.03;39.026;1
6328.18;28.175;1
6438.23;38.232;1
6528.19;28.189;1
6638.18;38.177;1
6728.21;28.206;1
6838.19;38.192;1
6928.29;28.288;1
7038.18;38.176;1
7128.2;28.203;1
7238.32;38.323;1
7328.15;28.152;1
7438.17;38.171;1
7529.48;29.484;1
7638.19;38.185;1
7728.32;28.314;1
7838.17;38.168;1
7928.2;28.197;1
8038.18;38.182;1
8128.15;28.146;1
8238.17;38.166;1
8328.16;28.159;1
8438.15;38.147;1
8528.14;28.142;1
8638.16;38.161;1
8728.23;28.226;1
8838.15;38.144;1
8928.14;28.139;1
9038.16;38.159;1
9128.29;28.287;1
9238.14;38.141;1
9328.14;28.136;1
9438.16;38.155;1
9530.2;30.204;1
9627.14;27.134;1
9738.28;38.282;1
9828.14;28.139;1
9938.13;38.129;1
10030.1;30.136;1
10127.1;27.131;1
10238.3;38.255;1
10328.1;28.112;1
10438.3;38.264;1
10530.1;30.11;1
10627.1;27.106;1
10738.3;38.259;1
10830.1;30.131;1
10927.1;27.101;1
11038.1;38.084;1
11128.1;28.106;1
11239.7;39.653;1
11328.1;28.12;1
11438.1;38.139;1
11528.1;28.103;1
11638.1;38.092;1
11730.1;30.101;1
11838.1;38.074;1
11928.1;28.07;1
12038.2;38.228;1
12128.2;28.219;1
12239.3;39.276;1
12330.1;30.081;1
12427.1;27.08;1
12538.8;38.838;1
12628.1;28.056;1
12738.1;38.068;1
12830.1;30.084;1
12927.1;27.054;1
13038.1;38.137;1
13130.1;30.069;1
13227.1;27.073;1
13338.1;38.056;1
13430.1;30.094;1
13527.1;27.134;1
13638;38.045;1
13728;28.04;1
13838.2;38.163;1
13930.1;30.063;1
14027.1;27.063;1
14138;38.02;1
14230.1;30.088;1
14327;27.027;1
14438;38.039;1
14530;30.048;1
14627.2;27.164;1
14738.1;38.057;1
14830.1;30.069;1
14927;27.039;1
15038.1;38.053;1
15128;28.014;1
15238;38.033;1
15328.2;28.164;1
15438.2;38.182;1
15528;28.045;1
15638;38.028;1
15730;30.039;1
15827.1;27.095;1
15938;38.021;1
16030.2;30.164;1
16127;27.028;1
16239.2;39.212;1
16330;30.019;1
16427;27.018;1
16538;38.025;1
16630;30.008;1
16727;27.008;1
16838;38.041;1
16930;30.019;1
17027.1;27.068;1
17139.2;39.213;1
17230.1;30.088;1
17327;26.989;1
17438;38;1
17530;29.983;1
17627;26.98;1
17739.2;39.193;1
17835.1;35.127;1
17930;29.981;1
18027;27.005;1
18138.1;38.123;1
18230;29.996;1
18338;37.97;1
18430;30.045;1
18527;26.949;1
18638.1;38.063;1
18730;29.974;1
18827;26.969;1
18938;37.952;1
19030;29.987;1
19127;26.959;1
19238;37.971;1
19330;29.985;1
19427;26.98;1
19539.1;39.133;1
19635;34.959;1
19730;30.033;1
19826.9;26.946;1
19937.9;37.927;1
20030;29.96;1
