UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
1,0,0,0,0,0,0,0,0,0.000277761
1,0,0,0,0,0,0,0,0,1.030030248
1,0,0,0,0,0,0,0,0,2.091910478-
0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,-
1,0,0,0,0,0,0,0,0,7.999883684-
1,0,0,0,0,0,0,0,0,8.000153895
1,0,0,0,0,0,0,0,0,9.044473191
1,0,0,0,0,0,0,0,0,10.113193467
1,0,0,0,0,0,0,0,0,11.136934724
1,0,0,0,0,0,0,0,0,12.16488313
1,0,0,0,0,0,0,0,0,13.168908319
1,0,0,0,0,0,0,0,0,14.229920831
1,0,0,0,0,0,0,0,0,15.23204298
1,0,0,0,0,0,0,0,0,16.243042791
1,0,0,0,0,0,0,0,1,17.318928469
1,0,0,0,0,0,0,0,1,18.320267138
1,0,0,0,0,0,0,0,1,19.332031005
1,0,0,0,1,0,0,0,1,20.342850781
1,0,0,0,1,0,0,0,1,21.350590797
1,0,0,0,1,0,0,0,1,22.356692545
1,0,0,0,1,0,0,0,1,23.367147901
1,0,0,0,1,0,0,0,1,24.371956745
1,0,0,0,1,0,0,0,1,25.382514011
1,0,0,0,1,0,0,0,0,26.435080151
1,0,0,0,1,0,0,0,0,27.441329745
1,0,0,0,1,0,0,0,0,28.456221824
1,0,0,0,1,0,0,0,0,29.464961568
1,0,0,0,1,0,0,0,0,30.470082984
1,0,0,0,1,0,0,0,0,31.476163267
1,0,0,0,1,0,0,0,0,32.489209195
1,0,0,0,1,0,0,0,0,33.491593779
1,0,0,0,1,0,0,0,0,34.503271536
1,0,0,0,1,0,0,0,0,35.520702178
1,0,0,0,1,0,0,0,0,36.532122147
1,0,0,0,1,0,0,0,0,37.538104339
1,0,0,0,1,0,0,0,0,38.545904389
1,0,0,0,1,0,0,0,0,39.553445064
1,0,0,0,1,0,0,0,0,40.567252345
1,0,0,0,1,0,0,0,1,41.573136348
1,0,0,0,1,0,0,0,1,42.581322148
1,0,0,0,1,0,0,0,1,43.593986812
1,0,0,0,1,0,0,0,1,44.602409709
1,0,0,0,1,0,0,0,0,45.610353003
1,0,0,0,1,0,0,0,0,46.627577924
1,0,0,0,1,0,0,0,0,47.63506982
1,0,0,0,1,0,0,0,0,48.641113226
1,0,0,0,1,0,0,0,0,49.651754156
1,0,0,0,1,0,0,0,0,50.676240266
1,0,0,0,1,0,0,0,0,51.706477305
1,0,0,0,1,0,0,0,0,52.714813487
1,0,0,0,1,0,0,0,0,53.71823818
1,0,0,0,1,0,0,0,0,54.726443291
1,0,0,0,1,0,0,0,0,55.738458314
1,0,0,0,1,0,0,0,0,56.767138787
1,0,0,0,1,0,0,0,0,57.770055069
1,0,0,0,1,0,1,0,0,58.783950959
1,0,0,0,1,0,1,0,0,59.796566535
1,0,0,0,1,0,1,0,0,60.814738188
1,0,0,0,1,0,1,0,0,61.822338114
1,0,0,0,1,0,1,0,0,62.823659264
1,0,0,0,1,0,0,0,0,63.83559458
1,0,0,0,1,0,0,0,0,64.841461529
1,0,0,0,1,0,1,0,0,65.852353043
1,0,0,0,1,0,1,0,0,66.85866736
1,0,0,0,1,0,1,0,0,67.863159611
1,0,0,0,1,0,1,0,0,68.863342421
1,0,0,0,1,0,1,0,0,69.870371519
1,0,0,0,1,0,1,0,0,70.8722988
1,0,1,0,1,0,1,0,0,71.932468889
1,0,1,0,1,0,1,0,0,72.932556369
1,0,1,0,1,0,1,0,0,73.932649529
1,0,1,0,1,0,1,0,0,74.940851626
1,0,1,0,1,0,1,0,0,75.942320211
1,0,1,0,1,0,1,0,0,76.962065261
1,0,1,0,1,0,1,0,0,77.96730705
1,0,1,0,1,0,1,0,0,78.968832444
1,0,1,0,1,0,1,0,0,79.980607265
1,0,1,0,1,0,1,0,0,80.984144396
1,0,1,0,1,0,1,0,0,81.990305043
1,0,1,0,1,0,1,0,0,83.002132056
1,0,1,0,1,0,1,0,0,84.011722782
1,0,1,0,1,0,1,0,0,85.012141205
1,0,1,0,1,0,1,0,0,86.027118919
1,0,1,0,1,0,1,0,0,87.02950664
0,0,1,0,1,0,1,0,0,88.029523662
0,0,1,0,1,0,1,0,0,89.029598333
0,0,1,0,1,0,1,0,0,90.035772685
0,0,1,0,0,0,1,0,0,91.050419221
0,0,1,0,0,0,1,0,0,92.059225985
0,0,1,0,0,0,1,0,0,93.075550249
0,0,1,0,0,0,1,0,0,94.082132426
0,0,0,0,0,0,1,0,0,95.089070756
0,0,0,0,0,0,1,0,0,96.101564322
0,0,0,0,0,0,1,0,1,97.114285545
0,0,0,0,0,0,1,0,1,98.122440046
0,0,0,0,0,0,1,0,1,99.131312065
0,0,0,0,0,0,1,0,1,100.159341915
0,0,0,0,0,0,1,0,1,101.16035773
0,0,0,0,0,0,1,0,1,102.174148114
0,0,0,1,0,0,1,0,1,103.192336075
0,0,0,1,0,0,1,0,1,104.202192427
0,0,0,1,0,0,1,0,1,105.237695456
0,0,0,0,0,0,1,0,1,106.264273367
0,0,0,1,0,0,1,0,1,107.282439156
0,0,0,1,0,0,1,0,1,108.302452214
0,0,0,1,0,0,1,0,1,109.318502278
0,0,0,1,0,0,1,0,1,110.342469468
0,0,0,1,0,0,1,0,1,111.362167238
0,0,0,1,0,0,1,0,1,112.362383639
0,0,0,1,0,0,0,0,1,113.371252312
0,0,0,1,0,0,0,0,1,114.377137537
0,0,0,1,0,0,0,0,1,115.412379416
0,0,0,1,0,0,0,0,1,116.421353806
0,0,0,1,0,0,0,0,1,117.435947895
0,0,0,1,0,0,0,0,1,118.472436993
0,0,0,1,0,0,0,0,1,119.492484606
0,0,0,1,0,0,0,0,1,120.506945092
0,0,1,1,0,0,0,0,1,121.514893391
0,0,1,1,0,0,0,0,1,122.528694356
0,0,1,1,0,0,0,0,1,123.541311339
0,0,1,1,0,0,0,0,1,124.55575273
0,0,1,1,0,0,0,0,1,125.565231047
0,0,1,1,0,0,0,0,1,126.569455287
0,0,1,1,0,0,0,0,1,127.570441847
0,0,1,1,0,0,0,0,1,128.59328131
0,0,1,1,0,0,0,0,1,129.600307708
0,0,1,1,0,0,0,0,1,130.604360039
0,0,1,1,0,0,0,0,1,131.618539476
0,0,1,1,0,0,0,0,1,132.633328171
0,0,1,1,0,0,0,0,1,133.642396671
0,0,1,1,0,0,0,0,1,134.644342588
0,0,1,1,0,0,0,0,1,135.657305462
0,0,1,1,0,0,0,0,1,136.661322317
0,0,1,1,0,0,0,0,1,137.670357804
0,0,1,1,0,0,0,0,1,138.680344327
0,0,1,1,0,0,0,0,1,139.685556138
0,0,1,1,0,0,0,0,1,140.699128831
0,0,1,1,0,0,0,0,1,141.712729844
0,0,1,1,0,0,0,0,1,142.782344473
0,0,1,1,0,0,0,0,1,143.802599118
0,0,1,1,0,0,0,0,1,144.82000946
0,0,1,1,0,0,0,0,1,145.820523859
0,0,1,1,0,0,0,0,1,146.827048589
0,0,0,1,0,0,0,0,0,147.835508597
0,0,0,1,0,0,0,0,0,148.848467416
0,0,0,1,0,0,0,0,0,150.041435814
0,0,0,1,0,0,0,0,0,151.207537687
0,0,0,1,0,0,0,0,0,152.274903195
0,0,0,1,0,0,0,0,0,153.327116161
0,0,0,1,0,0,0,0,0,154.385664278
0,0,0,1,0,0,0,0,0,155.442831922
0,0,0,1,0,0,0,0,0,156.500768841
0,0,0,1,0,0,0,0,0,157.557422809
0,0,0,1,0,0,0,0,0,158.615873299
0,0,0,1,0,0,0,0,0,159.675333987
0,0,0,1,0,0,0,0,0,160.735132841
