UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
1,0,0,0,0,0,0,0,0,8.07801267
1,0,0,0,0,0,0,0,0,9.618928646-
1,0,0,0,0,0,0,0,0,11.517934426-
1,0,0,0,0,0,0,0,0,11.517955262
1,0,0,0,0,0,0,0,0,12.52821347
1,0,0,0,0,0,0,0,0,13.591781928
1,0,0,0,0,0,0,0,0,14.627920203
1,0,0,0,0,0,0,0,0,15.633528299
1,0,0,0,0,0,0,0,0,16.641445355
1,0,0,0,0,0,0,0,0,17.654001894
1,0,0,0,0,0,0,0,0,18.739948223
1,0,0,0,0,0,0,0,0,19.748021391
1,0,0,0,0,0,0,0,0,20.858991194
1,0,0,0,0,0,0,0,0,21.866592786
1,0,0,0,0,0,0,0,0,22.874377897
1,0,0,0,0,0,0,0,0,23.880974437
1,0,0,0,0,0,0,0,0,25.126526853
1,0,0,0,0,0,0,0,0,26.258050679
1,0,0,0,0,0,0,0,0,27.267933429
1,0,0,0,0,0,0,0,1,28.281655722
1,0,0,0,0,0,0,0,1,29.289913373
1,0,0,0,1,0,0,0,1,30.311915469
1,0,0,0,1,0,0,0,1,31.325379075
1,0,0,0,1,0,0,0,1,32.341069068
1,0,0,0,1,0,0,0,1,33.351853625
1,0,0,0,1,0,0,0,1,34.361933563
1,0,0,0,1,0,0,0,1,35.371988834
1,0,0,0,1,0,0,0,1,36.381918794
1,0,0,0,1,0,0,0,1,37.39442284
1,0,0,0,1,0,0,0,0,38.394663015
1,0,0,0,1,0,0,0,0,39.400079116
1,0,0,0,1,0,0,0,0,40.406024875
1,0,0,0,1,0,0,0,0,41.416358524
1,0,0,0,1,0,0,0,0,42.435116784
1,0,0,0,1,0,0,0,0,43.437904659
1,0,0,0,1,0,0,0,0,44.443974177
1,0,0,0,1,0,0,0,0,45.452483399
1,0,0,0,1,0,0,0,0,46.503320809
1,0,0,0,1,0,0,0,0,47.508419949
1,0,0,0,1,0,0,0,0,48.532223755
1,0,0,0,1,0,0,0,0,49.538111812
1,0,0,0,1,0,0,0,0,50.544103187
1,0,0,0,1,0,0,0,0,51.566935227
1,0,0,0,1,0,0,0,0,52.577983212
1,0,0,0,1,0,0,0,0,53.606286839
1,0,0,0,1,0,0,0,1,54.617218589
1,0,0,0,1,0,0,0,1,55.619971492
1,0,0,0,1,0,0,0,1,56.633017945
1,0,0,0,1,0,0,0,1,57.647878073
1,0,0,0,1,0,0,0,0,58.657963363
1,0,0,0,1,0,0,0,0,59.671224192
1,0,0,0,1,0,1,0,0,60.679604522
1,0,0,0,1,0,0,0,0,61.697401022
1,0,0,0,1,0,1,0,0,62.702992426
1,0,0,0,1,0,1,0,0,63.709058692
1,0,0,0,1,0,0,0,0,64.728011521
1,0,0,0,1,0,1,0,0,65.738084052
1,0,0,0,1,0,1,0,0,66.744110973
1,0,0,0,1,0,1,0,0,67.794421264
1,0,0,0,1,0,1,0,0,68.797922776
1,0,0,0,1,0,1,0,0,69.80631656
1,0,0,0,1,0,1,0,0,70.807624212
1,0,0,0,1,0,1,0,0,71.808416617
1,0,0,0,1,0,1,0,0,72.810558181
1,0,0,0,1,0,1,0,0,73.816465157
1,0,0,0,1,0,1,0,0,74.821515477
1,0,0,0,1,0,1,0,0,75.829945395
1,0,0,0,1,0,1,0,0,76.90942582
1,0,0,0,1,0,1,0,0,77.919072264
1,0,0,0,1,0,1,0,0,78.923032996
1,0,0,0,1,0,1,0,0,79.924831698
1,0,0,0,1,0,1,0,0,80.932608956
1,0,0,0,1,0,1,0,0,81.937832967
1,0,0,0,1,0,1,0,0,82.944393175
1,0,0,0,1,0,1,0,0,83.94707749
1,0,1,0,1,0,1,0,0,84.956950676
1,0,1,0,1,0,1,0,0,85.971487234
1,0,1,0,1,0,1,0,0,86.978805715
1,0,1,0,1,0,1,0,0,87.978882554
1,0,1,0,1,0,1,0,0,88.979887301
1,0,1,0,1,0,1,0,0,89.99006318
1,0,1,0,1,0,1,0,0,91.009152639
1,0,1,0,1,0,1,0,0,92.022448157
1,0,1,0,1,0,1,0,0,93.035853663
1,0,1,0,1,0,1,0,0,94.044133699
1,0,1,0,1,0,1,0,0,95.049911363
1,0,1,0,1,0,1,0,0,96.055246645
1,0,1,0,1,0,1,0,0,97.063393949
1,0,1,0,1,0,1,0,0,98.070008792
1,0,1,0,1,0,1,0,0,99.07235734
1,0,1,0,1,0,1,0,0,100.093034369
1,0,1,0,0,0,1,0,0,101.115025032
0,0,1,0,0,0,1,0,0,102.119968977
0,0,1,0,0,0,1,0,0,103.122358953
0,0,1,0,0,0,1,0,0,104.123183744
0,0,1,0,0,0,1,0,0,105.138015171
0,0,1,0,0,0,1,0,0,106.145040241
0,0,1,1,0,0,1,0,0,107.157271965
0,0,0,1,0,0,1,0,0,108.162390683
0,0,0,1,0,0,1,0,1,109.175929056
0,0,0,1,0,0,1,0,1,110.184973408
0,0,0,1,0,0,1,0,1,111.209986326
0,0,0,1,0,0,1,0,1,112.211626785
0,0,0,1,0,0,1,0,1,113.221033033
0,0,0,1,0,0,1,0,1,114.223860034
0,0,0,1,0,0,1,0,1,115.232312611
0,0,0,1,0,0,1,0,1,116.246371305
0,0,0,1,0,0,1,0,1,117.260671834
0,0,0,1,0,0,1,0,1,118.272103114
0,0,0,1,0,0,1,0,1,119.292030802
0,0,0,1,0,0,1,0,1,120.300727773
0,0,0,1,0,0,1,0,1,121.304968809
0,0,0,1,0,0,1,0,1,122.31252058
0,0,0,1,0,0,1,0,1,123.32517681
0,0,0,1,0,0,1,0,1,124.335045516
0,0,0,1,0,0,1,0,1,125.342065039
0,0,0,1,0,0,0,0,1,126.347013653
0,0,0,1,0,0,0,0,1,127.350700389
0,0,0,1,0,0,0,0,1,128.353931226
0,0,0,1,0,0,0,0,1,129.360091741
0,0,0,1,0,0,0,0,1,130.3747543
0,0,0,1,0,0,0,0,1,131.377201322
0,0,0,1,0,0,0,0,1,132.391995253
0,0,0,1,0,0,0,0,1,133.397030572
0,0,1,1,0,0,0,0,1,134.400101013
0,0,1,1,0,0,0,0,1,135.405034601
0,0,1,1,0,0,0,0,1,136.410088157
0,0,1,1,0,0,0,0,1,137.412076578
0,0,1,1,0,0,0,0,1,138.420066176
0,0,1,1,0,0,0,0,1,139.423069656
0,0,1,1,0,0,0,0,1,140.430084605
0,0,1,1,0,0,0,0,1,141.436137852
0,0,1,1,0,0,0,0,1,142.444393497
0,0,1,1,0,0,0,0,1,143.44815849
0,0,1,1,0,0,0,0,1,144.449124086
0,0,1,1,0,0,0,0,1,145.460117979
0,0,1,1,0,0,0,0,1,146.465182577
0,0,1,1,0,0,0,0,1,147.468331493
0,0,1,1,0,0,0,0,1,148.482054976
0,0,1,1,0,0,0,0,1,149.483089029
0,0,1,1,0,0,0,0,1,150.490030614
0,0,1,1,0,0,0,0,1,151.501614443
0,0,1,1,0,0,0,0,1,152.509377047
0,0,1,1,0,0,0,0,1,153.518092458
0,0,1,1,0,0,0,0,1,154.520067104
0,0,1,1,0,0,0,0,1,155.528489106
0,0,1,1,0,0,0,0,1,156.540047384
0,0,1,1,0,0,0,0,1,157.543111866
0,0,1,1,0,0,0,0,1,158.548125532
0,0,1,1,0,0,0,0,1,159.555039606
0,0,1,1,0,0,0,0,1,160.555301202
0,0,0,1,0,0,0,0,0,161.589063108
0,0,0,1,0,0,0,0,0,162.648562428
0,0,0,1,0,0,0,0,0,163.668633356
0,0,0,1,0,0,0,0,0,164.720664726
0,0,0,1,0,0,0,0,0,165.781887497
0,0,0,1,0,0,0,0,0,166.840174309
0,0,0,1,0,0,0,0,0,167.898947079
0,0,0,1,0,0,0,0,0,168.957874208
