UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
1,0,0,0,0,0,0,0,0,38.048394385
1,0,0,0,0,0,0,0,0,39.06716793
1,0,0,0,0,0,0,0,0,40.124052503-
0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,-
1,0,0,0,0,0,0,0,0,45.794068162-
1,0,0,0,0,0,0,0,0,45.794187187
1,0,0,0,0,0,0,0,0,46.810612878
1,0,0,0,0,0,0,0,0,47.812944569
1,0,0,0,0,0,0,0,0,48.951844457
1,0,0,0,0,0,0,0,0,49.954950696
1,0,0,0,0,0,0,0,0,50.974157192
1,0,0,0,0,0,0,0,0,51.974424578
1,0,0,0,0,0,0,0,0,52.983277712
1,0,0,0,0,0,0,0,0,53.989356838
1,0,0,0,0,0,0,0,0,55.056570246
1,0,0,0,0,0,0,0,0,56.065980405
1,0,0,0,0,0,0,0,0,57.074940536
1,0,0,0,0,0,0,0,1,58.085096342
1,0,0,0,0,0,0,0,1,59.085254529
1,0,0,0,0,0,0,0,1,60.08810452
1,0,0,0,1,0,0,0,1,61.102060557
1,0,0,0,1,0,0,0,1,62.109331293
1,0,0,0,1,0,0,0,1,63.113928833
1,0,0,0,1,0,0,0,1,64.140031189
1,0,0,0,1,0,0,0,1,65.160249756
1,0,0,0,1,0,0,0,1,66.169560306
1,0,0,0,1,0,0,0,0,67.176939387
1,0,0,0,1,0,0,0,0,68.177075067
1,0,0,0,1,0,0,0,0,69.182795282
1,0,0,0,1,0,0,0,0,70.185239661
1,0,0,0,1,0,0,0,0,71.191854282
1,0,0,0,1,0,0,0,0,72.196254894
1,0,0,0,1,0,0,0,0,73.199199147
1,0,0,0,1,0,0,0,0,74.19924527
1,0,0,0,1,0,0,0,0,75.199352299
1,0,0,0,1,0,0,0,0,76.203286092
1,0,0,0,1,0,0,0,0,77.207782553
1,0,0,0,1,0,0,0,0,78.211812155
1,0,0,0,1,0,0,0,0,79.216624929
1,0,0,0,1,0,0,0,0,80.219724814
1,0,0,0,1,0,0,0,0,81.223171023
1,0,0,0,1,0,0,0,0,82.2695376
1,0,0,0,1,0,0,0,1,83.296332349
1,0,0,0,1,0,0,0,1,84.297635771
1,0,0,0,1,0,0,0,1,85.302123448
