UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
17720,0,0,0,0,0,0,0,0,0.000302913
5811,0,0,0,0,0,0,0,0,1.001924648
1020,0,0,0,0,0,0,0,0,2.192895248
39353,0,0,0,0,0,0,0,0,3.220339154
84977,0,0,0,0,0,0,0,0,4.266257611
88499,0,0,0,0,0,0,0,0,5.273693751
139567,0,0,0,0,0,0,0,0,6.286175489
131397,0,0,0,0,0,0,0,0,7.299747958
91950,0,0,0,0,0,0,0,0,8.30830691
84119,0,0,0,0,0,0,0,0,9.321010419
76977,0,0,0,0,0,0,0,0,10.345980896
149955,0,0,0,0,0,0,0,0,11.359901177
130149,0,0,0,0,0,0,0,0,12.374955338
70998,0,0,0,0,0,0,0,0,13.410008176
135309,0,0,0,0,0,0,0,0,14.416266455
97826,0,0,0,0,0,0,0,0,15.505516979
69836,0,0,0,0,0,0,0,0,16.513497658
106702,0,0,0,0,0,0,0,0,17.52566061
21658,0,0,0,0,0,0,0,0,18.624265793
135081,0,0,0,0,0,0,0,1763,19.650506513
139369,0,0,0,0,0,0,0,10578,20.669009975
134586,0,0,0,0,0,0,0,10578,21.682694246
107777,0,0,0,3131,0,0,0,10578,22.696046831
86950,0,0,0,26678,0,0,0,10578,23.711463139
69735,0,0,0,25980,0,0,0,10578,24.732173354
68344,0,0,0,26386,0,0,0,10578,25.740062972
57226,0,0,0,26734,0,0,0,10578,26.746300976
38515,0,0,0,25980,0,0,0,3526,27.775116275
83147,0,0,0,25980,0,0,0,0,28.791866812
74016,0,0,0,27418,0,0,0,0,29.808124542
75600,0,0,0,25980,0,0,0,0,30.819943356
58275,0,0,0,25980,0,0,0,0,31.832473148
59137,0,0,0,27232,0,0,0,0,32.836837471
90808,0,0,0,26210,0,0,0,0,33.87994663
96072,0,0,0,26210,0,0,0,0,34.891186639
69581,0,0,0,26772,0,0,0,0,35.905027285
104300,0,0,0,27097,0,0,0,0,36.911292865
97329,0,0,0,26210,0,0,0,0,37.92488963
106922,0,0,0,26620,0,0,0,0,38.937548251
103587,0,0,0,26972,0,0,0,0,39.946160099
118272,0,0,0,26210,0,0,0,0,40.950010353
127240,0,0,0,26772,0,0,0,0,41.955314577
147818,0,0,0,27097,0,0,0,0,43.008425164
175500,0,0,0,26210,0,0,0,0,44.017483243
121193,0,0,0,26210,0,0,0,9197,45.02122801
187676,0,0,0,26620,0,0,0,10344,46.022139699
209806,0,0,0,25800,0,0,0,10430,47.031214192
200059,0,0,0,26210,0,0,0,0,48.033104061
175121,0,0,0,27382,0,0,0,0,49.037060478
209673,0,0,0,26210,0,0,0,0,50.040708723
328182,0,0,0,26210,0,0,0,0,51.044474335
244527,0,0,0,26210,0,0,0,0,52.050958169
177393,0,0,0,26210,0,0,0,0,53.055052697
67532,0,0,0,26772,0,0,0,0,54.058432478
308185,0,0,0,25648,0,0,0,0,55.10547543
330972,0,0,0,27659,0,0,0,0,56.110799255
335795,0,0,0,26210,0,0,0,0,57.115827791
244502,0,0,0,26620,0,0,0,0,58.116332523
45259,0,0,0,26972,0,0,0,0,59.146185443
265635,0,0,0,26210,0,0,0,0,60.160216152
352702,0,0,0,26210,0,0,0,0,61.165164418
591927,0,0,0,26210,0,0,0,0,62.165590946
646417,0,0,0,26210,0,0,0,0,63.16853161
562797,0,0,0,26210,0,0,0,0,64.172601517
234953,0,0,0,26772,0,0,0,0,65.17513202
200183,0,0,0,25648,0,0,0,0,66.196503266
228738,0,0,0,26772,0,0,0,0,67.197645108
435624,0,0,0,27097,0,0,0,0,68.208459831
161549,0,0,0,26210,0,0,0,0,69.211861504
468512,0,0,0,26210,0,0,0,0,70.237189673
273672,0,0,0,27944,0,1284,0,0,71.240992078
488624,0,0,0,27097,0,0,0,0,72.311518582
350203,0,0,0,26620,0,0,0,0,73.316609933
451494,0,0,0,25800,0,0,0,0,74.340251983
325356,0,9244,0,27382,0,0,0,0,75.342142541
405455,0,9145,0,26210,0,15395,0,0,76.345467237
342614,0,8963,0,25448,0,59466,0,0,77.346199827
56847,0,10430,0,26972,0,39567,0,0,78.346295573
164372,0,10590,0,26210,0,95347,0,0,79.39630402
15048,0,10578,0,26772,0,107254,0,0,80.400675878
206284,0,10578,0,27097,0,81508,0,0,81.408463752
130545,0,10446,0,26210,0,155213,0,0,82.416653447
3064,0,10512,0,26210,0,166195,0,0,83.418245403
2926,0,10512,0,26210,0,148543,0,0,84.423899449
3064,0,10512,0,26210,0,128449,0,0,85.426622893
3064,0,10578,0,26620,0,127354,0,0,86.432100502
3064,0,10578,0,26972,0,164237,0,0,87.443295326
3064,0,9527,0,26210,0,109791,0,0,88.449936608
3064,0,10344,0,26210,0,203367,0,0,89.450212837
2926,0,10430,0,26210,0,235828,0,0,90.452889559
3064,0,10512,0,26210,0,239383,0,0,91.458106595
1528,0,10380,0,26210,0,307809,0,0,92.4660433
0,0,10512,0,3474,0,304345,0,0,93.472078088
0,0,9359,0,1082,0,157321,0,0,94.480295874
0,0,10512,0,0,0,341258,0,0,95.500253361
0,0,10430,0,1082,0,397649,0,0,96.504318914
0,0,0,0,0,0,338301,0,0,97.506184373
0,0,0,0,0,0,275559,0,0,98.50653729
0,0,0,0,0,0,107074,0,6122,99.510991545
0,0,0,0,1082,0,431173,0,10504,100.572434455
0,0,0,0,0,0,468180,0,9722,101.575675811
0,0,0,0,0,0,323951,0,10430,102.578106308
0,0,0,0,0,0,79009,0,10578,103.593494959
0,0,0,1284,1082,0,65168,0,10578,104.622573381
0,0,0,15399,0,0,201882,0,10578,105.672195952
0,0,0,264,0,0,43053,0,10380,106.715737189
0,0,0,0,0,0,3064,0,10512,107.7264378
0,0,0,0,1082,0,3064,0,10578,108.736546803
0,0,0,0,0,0,3064,0,10578,109.745660639
0,0,0,0,0,0,3202,0,10512,110.756406592
0,0,0,0,0,0,3064,0,11337,111.774182485
0,0,0,0,1082,0,3064,0,10644,112.794175803
0,0,0,0,0,0,3064,0,10578,113.82215539
0,0,0,0,0,0,3202,0,9079,114.842150319
0,0,0,20622,0,0,3064,0,10578,115.862077132
0,0,0,49288,1082,0,1098,0,10578,116.88225288
0,0,0,91906,0,0,0,0,10652,117.96221447
0,0,0,577596,0,0,0,0,10504,118.982307132
0,0,0,97491,527,0,0,0,10578,119.998611941
0,0,0,339290,555,0,0,0,10578,121.022106851
0,0,0,518529,0,0,0,0,10578,122.022751113
0,0,0,409605,0,0,0,0,10578,123.02572676
0,0,0,464291,0,0,0,0,10578,124.08217889
0,0,6722,431690,0,0,0,0,10578,125.083841645
0,0,10578,164712,0,0,0,0,10578,126.097153991
0,0,9359,187732,0,0,0,0,10578,127.097579122
0,0,10438,291800,0,0,0,0,10578,128.110198575
0,0,10504,364410,0,0,0,0,10578,129.11042322
0,0,10578,328124,0,0,0,0,10512,130.130176765
0,0,10578,261007,0,0,0,0,10446,131.130936274
0,0,10578,540895,0,0,0,0,10446,132.140190118
0,0,10512,98444,0,0,0,0,9527,133.142213395
0,0,10578,167674,0,0,0,0,10410,134.142294215
0,0,10578,616793,0,0,0,0,10512,135.162273193
0,0,10380,189174,0,0,0,0,10430,136.165466508
0,0,10512,452972,0,0,0,0,10578,137.172223942
0,0,9359,409917,0,0,0,0,10578,138.173925859
0,0,10578,523233,0,0,0,0,10578,139.190274556
0,0,10578,88379,0,0,0,0,10578,140.210215787
0,0,10578,81363,0,0,0,0,10578,141.230261059
0,0,10512,531558,0,0,0,0,10578,142.250263427
0,0,10430,620267,0,0,0,0,10578,143.250330281
0,0,10578,531893,0,0,0,0,10578,144.252478842
0,0,10578,432141,0,0,0,0,10512,145.25487196
0,0,10578,106259,0,0,0,0,10446,146.265676139
0,0,10512,226377,0,0,0,0,10512,147.2671044
0,0,9029,164566,0,0,0,0,10512,148.282225943
0,0,10430,424382,0,0,0,0,7382,149.284286568
0,0,1763,161587,0,0,0,0,0,150.285642593
0,0,0,395816,0,0,0,0,0,151.293511265
0,0,0,291900,0,0,0,0,0,152.294286516
0,0,0,228256,0,0,0,0,0,153.298502933
0,0,0,129877,0,0,0,0,0,154.362500602
0,0,0,182875,0,0,0,0,0,155.385569985
0,0,0,3202,0,0,0,0,0,156.479343049
0,0,0,3202,0,0,0,0,0,157.538194951
0,0,0,3202,0,0,0,0,0,158.597900519
0,0,0,3202,0,0,0,0,0,159.656125137
0,0,0,3202,0,0,0,0,0,160.713736841
0,0,0,3202,0,0,0,0,0,161.77134305
0,0,0,3202,0,0,0,0,0,162.830431042
0,0,0,3202,0,0,0,0,0,163.890345829
0,0,0,3368,0,0,0,0,0,164.931314679
