UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time
16810,0,0,0,0,0,0,0,0,5.184154254
11374,0,0,0,0,0,0,0,0,6.204227425
20856,0,0,0,0,0,0,0,0,7.205412329
53565,0,0,0,0,0,0,0,0,8.462810282
8580,0,0,0,0,0,0,0,0,9.549735975
6561,0,0,0,0,0,0,0,0,10.694033165
9171,0,0,0,0,0,0,0,0,11.869526948
8367,0,0,0,0,0,0,0,0,12.941005385
8464,0,0,0,0,0,0,0,0,14.084050541
13467,0,0,0,0,0,0,0,0,15.618802499
8104,0,0,0,0,0,0,0,0,16.656917425
14025,0,0,0,0,0,0,0,0,17.734084573
1375,0,0,0,0,0,0,0,0,18.872543195
17346,0,0,0,0,0,0,0,0,19.976999503
3189,0,0,0,0,0,0,0,0,21.035057671
22073,0,0,0,0,0,0,0,0,22.064931883
23193,0,0,0,0,0,0,0,0,23.104051822
11603,0,0,0,0,0,0,0,0,24.128476612-
1205,0,0,0,0,0,0,0,0,24.914055803-
10328,0,0,0,0,0,0,0,8551,25.67547089
34993,0,0,0,0,0,0,0,19327,26.681581349
38541,0,0,0,10452,0,0,0,19871,27.69306658
39260,0,0,0,26220,0,0,0,20942,28.710884766
41899,0,0,0,26310,0,0,0,19195,29.728160123
45697,0,0,0,27763,0,0,0,17902,30.734100771
33308,0,0,0,26310,0,0,0,19121,31.741208546
39358,0,0,0,26310,0,0,0,19393,32.746074857
17029,0,0,0,26722,0,0,0,264,33.75610369
57156,0,0,0,26310,0,0,0,0,34.768259424
58655,0,0,0,26310,0,0,0,0,35.774350695
52616,0,0,0,27076,0,0,0,0,36.780242195
55856,0,0,0,26418,0,0,0,0,37.809494649
74243,0,0,0,27055,0,0,0,0,38.816204275
19572,0,0,0,27802,0,0,0,0,39.84259517
78287,0,0,0,26075,0,0,0,0,40.86531956
77493,0,0,0,26490,0,0,0,0,41.869113148
110399,0,0,0,27677,0,0,0,0,42.877244367
56299,0,0,0,26490,0,0,0,0,43.884600997
21189,0,0,0,27055,0,0,0,0,44.933258692
81254,0,0,0,26490,0,0,0,0,45.939563238
140641,0,0,0,27387,0,0,0,0,46.945581434
151525,0,0,0,26490,0,0,0,0,47.960042213
137396,0,0,0,26490,0,0,0,0,48.974310777
141175,0,0,0,27677,0,0,0,3608,49.980341135
106172,0,0,0,26490,0,0,0,17696,50.988165689
78203,0,0,0,26490,0,0,0,17630,51.993729245
106519,0,0,0,26490,0,0,0,13956,52.996129994
58415,0,0,0,26490,0,0,0,0,54.014477078
118912,0,0,0,26490,0,0,0,0,55.036316371
117860,0,0,0,27952,0,0,0,0,56.042271094
92289,0,0,0,26490,0,0,0,0,57.048522517
70082,0,0,0,26905,0,0,0,0,58.055687999
27668,0,0,0,27262,0,0,0,0,59.077368579
90129,0,0,0,27952,0,0,0,0,60.145318729
136457,0,0,0,26490,0,0,0,0,61.15417055
141064,0,0,0,26490,0,0,0,0,62.164181572
102522,0,0,0,27677,0,0,0,0,63.178057762
148956,0,0,0,26490,0,0,0,0,64.191310589
64300,0,0,0,27055,0,0,0,0,65.19995194
79909,0,0,0,27387,0,0,0,0,66.242637701
135099,0,0,0,26490,0,0,0,0,67.255632609
139845,0,0,0,26905,0,0,0,0,68.269400277
52727,0,0,0,27262,0,0,0,0,69.27734883
147986,0,0,0,26490,0,0,0,0,70.289653227
142119,0,0,0,26490,0,0,0,0,71.294158751
44927,0,0,0,26490,0,0,0,0,72.297540904
93259,0,0,0,26490,0,0,0,0,73.309247764
143320,0,0,0,26490,0,0,0,0,74.322601034
147680,0,0,0,26490,0,0,0,0,75.337614133
105810,0,0,0,27952,0,0,0,0,76.345357222
43221,0,0,0,26905,0,0,0,0,77.368414345
136112,0,0,0,26075,0,0,0,0,78.374437781
128140,0,2604,0,27677,0,0,0,0,79.380415505
62651,0,17696,0,26490,0,0,0,0,80.393286792
88684,0,21090,0,26490,0,0,0,0,81.424354184
79923,0,19525,0,27952,0,1646,0,0,82.433588716
60938,0,20876,0,25593,0,11315,0,0,83.434324185
15333,0,23414,0,26490,0,264,0,0,84.43667682
40857,0,18867,0,27387,0,0,0,0,85.442701625
3064,0,26033,0,26490,0,24986,0,0,86.457361922
3064,0,24748,0,26490,0,18218,0,0,87.474360491
3064,0,24748,0,27677,0,74165,0,0,88.477979898
3064,0,24748,0,26490,0,33307,0,0,89.479298964
3064,0,24830,0,26490,0,24211,0,0,90.488244065
2926,0,22919,0,26490,0,27059,0,0,91.496218916
3064,0,24748,0,26490,0,29001,0,0,92.506348143
3064,0,24748,0,26490,0,28825,0,0,93.520615275
3064,0,24616,0,27055,0,20760,0,0,94.524326335
1638,0,24748,0,25925,0,43040,0,0,95.530720027
0,0,25901,0,26490,0,39260,0,0,96.534380646
0,0,25160,0,20958,0,32500,0,0,97.541312238
0,0,25967,0,1092,0,44675,0,0,98.564023342
0,0,25094,0,1092,0,46799,0,0,99.571327557
0,0,5207,0,0,0,53115,0,0,100.58637643
0,0,0,0,1092,0,55153,0,0,101.610096259
0,0,0,0,0,0,54190,0,0,102.627020766
0,0,0,0,0,0,45668,0,0,103.65417333
0,0,0,0,532,0,51998,0,0,104.741658156
0,0,0,0,560,0,46529,0,214,105.753711531
0,0,0,0,0,0,79918,0,19261,106.760572462
0,0,0,0,0,0,31749,0,19047,107.768346691
0,0,0,0,1092,0,552,0,17828,108.776307601
0,0,0,1284,0,0,62398,0,19541,109.786186643
0,0,0,15395,0,0,51232,0,19047,110.807628556
0,0,0,264,0,0,6102,0,18108,111.824852789
0,0,0,0,1092,0,28762,0,17564,112.826398608
0,0,0,47795,0,0,1546,0,18915,113.832351765
0,0,0,52733,0,0,1684,0,17894,114.844725929
0,0,0,85304,0,0,1546,0,19393,115.851387276
0,0,0,127580,1092,0,1546,0,19327,116.861519544
0,0,0,124227,0,0,1684,0,23480,117.864475099
0,0,0,103263,0,0,1546,0,22985,118.868371441
0,0,0,6978,0,0,1684,0,17762,119.889827066
0,0,0,128190,1092,0,1546,0,23133,120.894578071
0,0,0,137685,0,0,1684,0,24682,121.900709701
0,0,0,149493,0,0,1546,0,24336,122.908648787
0,0,0,134548,0,0,138,0,23331,123.917182453
0,0,0,110599,1092,0,0,0,22919,124.920654734
0,0,0,135223,0,0,0,0,26033,125.926393653
0,0,0,50494,0,0,0,0,18042,126.936362113
0,0,4959,113202,0,0,0,0,19459,127.946411058
0,0,24682,122464,0,0,0,0,21024,128.946470785
0,0,25094,100340,0,0,0,0,20942,129.951391823
0,0,25352,80925,0,0,0,0,17910,130.954570381
0,0,25363,111599,0,0,0,0,21090,131.954666272
0,0,25094,121106,0,0,0,0,23219,132.960230143
0,0,26033,72904,0,0,0,0,19093,133.9735188
0,0,25094,115390,0,0,0,0,21082,134.991433219
0,0,24748,120979,0,0,0,0,19767,135.991630036
0,0,25967,101302,0,0,0,0,20510,136.993558244
0,0,25094,80042,0,0,0,0,18042,137.996456348
0,0,26033,85098,0,0,0,0,22779,139.006517614
0,0,24682,86744,0,0,0,0,19253,140.031457664
0,0,24682,43960,0,0,0,0,19195,141.031499495
0,0,24814,102193,0,0,0,0,23183,142.03350291
0,0,24962,97150,0,0,0,0,21304,143.039501236
0,0,26033,96968,0,0,0,0,22985,144.04646684
0,0,25094,79378,0,0,0,0,21090,145.061578943
0,0,26033,150857,0,0,0,0,22507,146.068469538
0,0,25094,135887,0,0,0,0,22985,147.082373546
0,0,26033,40274,0,0,0,0,18108,148.096455922
0,0,21420,133813,0,0,0,0,19627,149.096587641
0,0,24830,117833,0,0,0,0,20444,150.096805749
0,0,24682,104209,0,0,0,0,17828,151.104777815
0,0,24682,83496,0,0,0,0,22721,152.11154748
0,0,15785,84923,0,0,0,0,21156,153.135427691
0,0,0,107450,0,0,0,0,17976,154.142928192
0,0,0,40895,0,0,0,0,17630,155.161198399
0,0,0,68934,0,0,0,0,10496,156.168525516
0,0,0,93492,0,0,0,0,0,157.175561482
0,0,0,62004,0,0,0,0,0,158.193358876
0,0,0,25930,0,0,0,0,0,159.268725987
0,0,0,37112,0,0,0,0,0,160.282614106
0,0,0,3202,0,0,0,0,0,161.33723026
0,0,0,3202,0,0,0,0,0,162.395822959
0,0,0,3202,0,0,0,0,0,163.454363032
0,0,0,3202,0,0,0,0,0,164.513243014
0,0,0,3202,0,0,0,0,0,165.57294141
0,0,0,3202,0,0,0,0,0,166.631294499
0,0,0,3202,0,0,0,0,0,167.691074071
0,0,0,3202,0,0,0,0,0,168.750500884
0,0,0,3202,0,0,0,0,0,169.808383776
