 "UE1: web-rtc" "UE1: sipp" "UE1: web-server" "UE2: web-rtc" "UE2: sipp" "UE2: web-server" "UE3: web-rtc" "UE3: sipp" "UE3: web-server" Time UE1-Jitter UE2-Jitter UE3-Jitter UE1-CQI UE2-CQI UE3-CQI empty
0 15283000 0 0 0 0 0 0 0 0  18.868430264150902 0.0 0.0 13000 14000 15000 
1 8248000 0 0 0 0 0 0 0 0  21.509601698924698 0.0 0.0 13000 14000 15000 
2 27504000 0 0 0 0 0 0 0 0  23.119259572519 0.0 0.0 13000 15000 15000 
3 38723000 0 0 0 0 0 0 0 0  22.645153005555503 0.0 0.0 13000 14000 15000 
4 51684000 0 0 0 0 0 0 0 0  21.363311138655398 0.0 0.0 13000 14000 15000 
5 28713000 0 0 0 0 0 0 0 0  21.7528560355871 0.0 0.0 13000 14000 15000 
6 9136000 0 0 0 0 0 0 0 0  23.9400849966555 0.0 0.0 13000 14000 15000 
7 8685000 0 0 0 0 0 0 0 0  25.6585039278996 0.0 0.0 13000 14000 15000 
8 6987000 0 0 0 0 0 0 0 0  27.854811957703898 0.0 0.0 13000 14000 15000 
9 9005000 0 0 0 0 0 0 0 0  29.2798202685714 0.0 0.0 13000 14000 15000 
10 10733000 0 0 0 0 0 0 0 0  30.172322780748598 0.0 0.0 13000 14000 15000 
11 7789000 0 0 0 0 0 0 0 0  31.851562163265296 0.0 0.0 13000 14000 15000 
12 5532000 0 0 0 0 0 0 0 0  33.4259895037037 0.0 0.0 13000 14000 15000 
13 16548000 0 0 0 0 0 0 0 0  33.105770274376404 0.0 0.0 8000 9000 15000 
14 18170000 0 0 0 0 0 0 0 0  32.7980996974789 0.0 0.0 9000 11000 15000 
15 20268000 0 0 0 0 0 0 0 0  32.4974247617187 0.0 0.0 10000 10000 15000 
16 20812000 0 0 0 0 0 0 0 0  32.1825265318761 0.0 0.0 12000 14000 15000 
17 10764000 0 0 0 0 0 0 0 0  32.7499567565674 0.0 0.0 12000 14000 15000 
18 28021000 0 0 0 0 0 0 0 0  32.0593550991869 0.0 0.0 13000 14000 15000 
19 17755000 0 0 0 0 0 0 0 10960000  31.579037776923002 0.0 6.1027641866666 13000 14000 15000 
20 32620000 0 0 0 0 0 0 0 20922000  30.579663579772003 0.0 6.7575110787037 12000 14000 15000 
