0 15283 0 0 0 0 0 0 0 0  0.0188684302641509 0.0 0.0 13 14 15 
1 8248 0 0 0 0 0 0 0 0  0.0215096016989247 0.0 0.0 13 14 15 
2 27504 0 0 0 0 0 0 0 0  0.023119259572519 0.0 0.0 13 15 15 
3 38723 0 0 0 0 0 0 0 0  0.0226451530055555 0.0 0.0 13 14 15 
4 51684 0 0 0 0 0 0 0 0  0.0213633111386554 0.0 0.0 13 14 15 
5 28713 0 0 0 0 0 0 0 0  0.0217528560355871 0.0 0.0 13 14 15 
6 9136 0 0 0 0 0 0 0 0  0.0239400849966555 0.0 0.0 13 14 15 
7 8685 0 0 0 0 0 0 0 0  0.0256585039278996 0.0 0.0 13 14 15 
8 6987 0 0 0 0 0 0 0 0  0.0278548119577039 0.0 0.0 13 14 15 
9 9005 0 0 0 0 0 0 0 0  0.0292798202685714 0.0 0.0 13 14 15 
10 10733 0 0 0 0 0 0 0 0  0.0301723227807486 0.0 0.0 13 14 15 
11 7789 0 0 0 0 0 0 0 0  0.0318515621632653 0.0 0.0 13 14 15 
12 5532 0 0 0 0 0 0 0 0  0.0334259895037037 0.0 0.0 13 14 15 
13 16548 0 0 0 0 0 0 0 0  0.0331057702743764 0.0 0.0 8 9 15 
14 18170 0 0 0 0 0 0 0 0  0.0327980996974789 0.0 0.0 9 11 15 
15 20268 0 0 0 0 0 0 0 0  0.0324974247617187 0.0 0.0 10 10 15 
16 20812 0 0 0 0 0 0 0 0  0.0321825265318761 0.0 0.0 12 14 15 
17 10764 0 0 0 0 0 0 0 0  0.0327499567565674 0.0 0.0 12 14 15 
18 28021 0 0 0 0 0 0 0 0  0.0320593550991869 0.0 0.0 13 14 15 
19 17755 0 0 0 0 0 0 0 10960  0.031579037776923 0.0 0.0061027641866666 13 14 15 
20 32620 0 0 0 0 0 0 0 20922  0.030579663579772 0.0 0.0067575110787037 12 14 15 
21 30278 0 0 0 0 0 0 0 21090  0.0297208389576719 0.0 0.0068290226284916 13 14 15 
22 18370 0 0 0 10340 0 0 0 21288  0.0298794082955414 0.0142646340434783 0.0068485163677932 11 14 15 
23 23896 0 0 0 26690 0 0 0 24204  0.029670029895631 0.015137157047619 0.006714592638009 12 14 15 
