 "UE1: web-rtc" "UE1: sipp" "UE1: web-server" "UE2: web-rtc" "UE2: sipp" "UE2: web-server" "UE3: web-rtc" "UE3: sipp" "UE3: web-server" Time UE1-Jitter UE2-Jitter UE3-Jitter UE1-CQI UE2-CQI UE3-CQI empty
0 22993000 0 0 0 0 0 0 0 0  10.6081865052631 0.0 0.0 13000 15000 15000 
1 4850000 0 0 0 0 0 0 0 0  17.1450826612903 0.0 0.0 14000 14000 15000 
2 44188000 0 0 0 0 0 0 0 0  17.5287938833333 0.0 0.0 14000 15000 15000 
3 43878000 0 0 0 0 0 0 0 0  18.0032354978355 0.0 0.0 14000 15000 15000 
4 116040000 0 0 0 0 0 0 0 0  14.5735654265536 0.0 0.0 14000 14000 15000 
5 46663000 0 0 0 0 0 0 0 0  14.8547418072289 0.0 0.0 14000 14000 15000 
6 53285000 0 0 0 0 0 0 0 0  15.1561083446088 0.0 0.0 14000 15000 15000 
7 96946000 0 0 0 0 0 0 0 0  14.0296763190394 0.0 0.0 14000 15000 15000 
8 71242000 0 0 0 0 0 0 0 0  13.8040275849624 0.0 0.0 12000 14000 15000 
9 86989000 0 0 0 0 0 0 0 0  13.3090230913838 0.0 0.0 14000 15000 15000 
10 12964000 0 0 0 0 0 0 0 0  14.2721999835025 0.0 0.0 14000 14000 15000 
11 10903000 0 0 0 0 0 0 0 0  15.3376846264009 0.0 0.0 13000 15000 15000 
12 80606000 0 0 0 0 0 0 0 0  15.0059820259009 0.0 0.0 14000 14000 15000 
13 87816000 0 0 0 0 0 0 0 0  14.7312589653061 0.0 0.0 10000 11000 15000 
14 147241000 0 0 0 0 0 0 0 0  13.7122326944937 0.0 0.0 10000 10000 15000 
15 142701000 0 0 0 0 0 0 0 0  12.8708914295774 0.0 0.0 9000 10000 15000 
16 54016000 0 0 0 0 0 0 0 0  12.973258283271301 0.0 0.0 10000 12000 15000 
17 41972000 0 0 0 0 0 0 0 0  13.132350891103199 0.0 0.0 14000 14000 15000 
18 19956000 0 0 0 0 0 0 0 0  13.543361683553 0.0 0.0 13000 15000 15000 
