"UE1: web-rtc","UE1: sipp","UE1: web-server","UE2: web-rtc","UE2: sipp","UE2: web-server","UE3: web-rtc","UE3: sipp","UE3: web-server","Time","UE1-Jitter","UE2-Jitter","UE3-Jitter","UE1-CQI","UE2-CQI","UE3-CQI","empty"
15283,0,0,0,0,0,0,0,0,,"0.018868430264150943",0,0,13,14,15,
8248,0,0,0,0,0,0,0,0,,"0.021509601698924734",0,0,13,14,15,
27504,0,0,0,0,0,0,0,0,,"0.023119259572519084",0,0,13,15,15,
38723,0,0,0,0,0,0,0,0,,"0.022645153005555557",0,0,13,14,15,
51684,0,0,0,0,0,0,0,0,,"0.02136331113865546",0,0,13,14,15,
28713,0,0,0,0,0,0,0,0,,"0.02175285603558719",0,0,13,14,15,
9136,0,0,0,0,0,0,0,0,,"0.02394008499665552",0,0,13,14,15,
8685,0,0,0,0,0,0,0,0,,"0.025658503927899687",0,0,13,14,15,
6987,0,0,0,0,0,0,0,0,,"0.027854811957703934",0,0,13,14,15,
9005,0,0,0,0,0,0,0,0,,"0.029279820268571437",0,0,13,14,15,
10733,0,0,0,0,0,0,0,0,,"0.03017232278074867",0,0,13,14,15,
7789,0,0,0,0,0,0,0,0,,"0.03185156216326531",0,0,13,14,15,
5532,0,0,0,0,0,0,0,0,,"0.03342598950370371",0,0,13,14,15,
16548,0,0,0,0,0,0,0,0,,"0.03310577027437642",0,0,8,9,15,
18170,0,0,0,0,0,0,0,0,,"0.03279809969747899",0,0,9,11,15,
20268,0,0,0,0,0,0,0,0,,"0.03249742476171875",0,0,10,10,15,
20812,0,0,0,0,0,0,0,0,,"0.032182526531876136",0,0,12,14,15,
10764,0,0,0,0,0,0,0,0,,"0.032749956756567423",0,0,12,14,15,
28021,0,0,0,0,0,0,0,0,,"0.03205935509918698",0,0,13,14,15,
17755,0,0,0,0,0,0,0,10960,,"0.03157903777692307",0,"0.006102764186666671",13,14,15,
32620,0,0,0,0,0,0,0,20922,,"0.030579663579772074",0,"0.006757511078703704",12,14,15,
