 "UE1: web-rtc" "UE1: sipp" "UE1: web-server" "UE2: web-rtc" "UE2: sipp" "UE2: web-server" "UE3: web-rtc" "UE3: sipp" "UE3: web-server" Time UE1-Jitter UE2-Jitter UE3-Jitter UE1-CQI UE2-CQI UE3-CQI empty
0 22993 0 0 0 0 0 0 0 0  0.0106081865052631 0.0 0.0 13 15 15 
1 4850 0 0 0 0 0 0 0 0  0.0171450826612903 0.0 0.0 14 14 15 
2 44188 0 0 0 0 0 0 0 0  0.0175287938833333 0.0 0.0 14 15 15 
3 43878 0 0 0 0 0 0 0 0  0.0180032354978355 0.0 0.0 14 15 15 
4 116040 0 0 0 0 0 0 0 0  0.0145735654265536 0.0 0.0 14 14 15 
5 46663 0 0 0 0 0 0 0 0  0.0148547418072289 0.0 0.0 14 14 15 
6 53285 0 0 0 0 0 0 0 0  0.0151561083446088 0.0 0.0 14 15 15 
7 96946 0 0 0 0 0 0 0 0  0.0140296763190394 0.0 0.0 14 15 15 
8 71242 0 0 0 0 0 0 0 0  0.0138040275849624 0.0 0.0 12 14 15 
9 86989 0 0 0 0 0 0 0 0  0.0133090230913838 0.0 0.0 14 15 15 
10 12964 0 0 0 0 0 0 0 0  0.0142721999835025 0.0 0.0 14 14 15 
11 10903 0 0 0 0 0 0 0 0  0.0153376846264009 0.0 0.0 13 15 15 
12 80606 0 0 0 0 0 0 0 0  0.0150059820259009 0.0 0.0 14 14 15 
13 87816 0 0 0 0 0 0 0 0  0.0147312589653061 0.0 0.0 10 11 15 
14 147241 0 0 0 0 0 0 0 0  0.0137122326944937 0.0 0.0 10 10 15 
15 142701 0 0 0 0 0 0 0 0  0.0128708914295774 0.0 0.0 9 10 15 
16 54016 0 0 0 0 0 0 0 0  0.0129732582832713 0.0 0.0 10 12 15 
17 41972 0 0 0 0 0 0 0 0  0.0131323508911032 0.0 0.0 14 14 15 
18 19956 0 0 0 0 0 0 0 0  0.013543361683553 0.0 0.0 13 15 15 
19 25005 0 0 0 0 0 0 0 1911  0.0139335484296397 0.0 0.0068998144615379 14 14 15 
20 60430 0 0 0 0 0 0 0 22853  0.0139012308733031 0.0 0.0063889762095808 14 15 15 
21 49248 0 0 0 0 0 0 0 24270  0.0139802374322981 0.0 0.0062507566371951 14 14 15 
22 50562 0 0 0 1433 0 0 0 25094  0.014035850361791 0.0002037145000031 0.0060285909860279 12 14 15 
23 54426 0 0 0 25927 0 0 0 24814  0.0140550777154331 0.0159272672295084 0.0059975601014925 13 14 15 
24 57668 0 0 0 27246 0 0 0 26033  0.0140416949311294 0.0159266835772358 0.0059552570083036 12 14 15 
25 56233 0 0 0 26838 0 0 0 24550  0.0140083460898995 0.0156970569239131 0.0059480426607142 12 14 15 
26 20169 0 0 0 26080 0 0 0 24682  0.0143408210672926 0.0157559432839506 0.0059428500595744 11 14 15 
27 73076 0 0 0 26080 0 0 0 21486  0.0142450551549225 0.0157679479304636 0.0059408806122449 11 12 15 
28 85292 0 0 0 26080 0 0 0 0  0.0140398550851569 0.0158068800637119 0.0 13 14 14 
29 82993 0 0 0 26639 0 0 0 0  0.0138617392049068 0.0158892559714964 0.0 12 15 15 
30 66832 0 0 0 26080 0 0 0 0  0.0137947448073555 0.0160274515854166 0.0 14 15 15 
31 61556 0 0 0 26963 0 0 0 0  0.01378267720229 0.0160612840757855 0.0 12 13 15 
32 68843 0 0 0 24674 0 0 0 0  0.0137157985251739 0.0160510540636515 0.0 13 13 15 
33 71294 0 0 0 27711 0 0 0 0  0.0136347285944664 0.0160299961138088 0.0 14 14 15 
34 74038 0 0 0 26671 0 0 0 0  0.0135631402106269 0.0160927882114047 0.0 8 10 15 
35 43555 0 0 0 25849 0 0 0 0  0.0136688642821281 0.0161441572831403 0.0 11 14 15 
36 97218 0 0 0 26260 0 0 0 0  0.0135151205506671 0.0161737773289473 0.0 10 12 15 
37 109553 0 0 0 26671 0 0 0 0  0.0133101560484429 0.016212358172991 0.0 6 11 15 
38 105532 0 0 0 27024 0 0 0 0  0.0131477524660226 0.0162166370250784 0.0 8 10 15 
39 105920 0 0 0 25613 0 0 0 0  0.0129887876729781 0.0162078783639053 0.0 10 12 15 
40 108270 0 0 0 26788 0 0 0 0  0.0128306074853077 0.0161770509320298 0.0 11 12 15 
41 127461 0 0 0 26822 0 0 0 0  0.0126298189232827 0.0162055305970018 0.0 8 11 15 
42 129090 0 0 0 26788 0 0 0 0  0.0124157285267066 0.0162334407504188 0.0 6 10 15 
43 102687 0 0 0 25613 0 0 0 0  0.0123091328181063 0.0162936719672262 0.0 8 10 15 
44 97513 0 0 0 26788 0 0 0 8485  0.0122222210747512 0.0163114184195271 0.0059027826840958 6 11 15 
45 92395 0 0 0 26502 0 0 0 26923  0.0121166022238455 0.0163337526036496 0.0058414198323736 10 10 15 
46 94620 0 0 0 27844 0 0 0 29493  0.0120546281702235 0.0163131605083799 0.0057535376759522 8 10 15 
47 97663 0 0 0 27435 0 0 0 12671  0.0119699480096343 0.0162904892382865 0.0058502333508392 10 10 15 
48 102383 0 0 0 26788 0 0 0 0  0.0118739110549819 0.0162634178365508 0.0 10 10 14 
49 94250 0 0 0 26260 0 4357 0 0  0.0118031960177777 0.0162453395542467 0.0061523919183457 4 10 15 
50 80744 0 0 0 27316 0 29318 0 0  0.0117815342870879 0.0162265237305854 0.0064394185223191 10 11 15 
51 74263 0 0 0 26260 0 13072 0 0  0.0117652215326306 0.0162045761321408 0.0068782231623541 0 11 15 
52 91409 0 0 0 26788 0 109125 0 0  0.0117223780925438 0.0161906579860569 0.0069728869722222 7 11 15 
53 99357 0 0 0 27711 0 150332 0 0  0.0116290258560444 0.0161882162382749 0.0069587965424865 8 10 15 
54 92483 0 0 0 25865 0 130448 0 0  0.0115674090440225 0.0161710246168322 0.0069821930885702 10 10 15 
55 81757 0 0 0 27711 0 86286 0 0  0.0115368342602207 0.0161370132445569 0.0071049066161943 4 11 15 
56 63074 0 0 0 26788 0 128763 0 0  0.0115483349889425 0.0161399311631449 0.007118596428023 2 10 15 
57 56439 0 0 0 26260 0 56124 0 0  0.0115561151613604 0.0161404883763133 0.0073132351410928 9 10 14 
58 60090 0 0 0 28491 0 64597 0 0  0.0115673830511972 0.0161243489874884 0.0074338787183047 13 14 15 
59 65027 0 0 0 25849 0 128144 0 0  0.0115732619687799 0.0161244819539711 0.0074409071893305 8 10 14 
60 59373 0 0 0 26788 0 156382 0 0  0.0115870364621769 0.0161081727227592 0.0073750647411687 8 10 15 
61 45879 0 0 0 26260 0 139529 0 0  0.0116219521776536 0.0161030127464668 0.007363860388328 8 11 15 
62 43285 0 0 0 27316 0 125105 0 0  0.0116606125593968 0.0160821805884808 0.0073711846643441 10 10 14 
63 39196 0 0 0 26260 0 135098 0 0  0.0117071787901818 0.016078768390224 0.0073681836826643 14 14 15 
64 42781 0 0 0 26788 0 147951 0 0  0.0117566817061679 0.0160729497491053 0.0073478141082287 14 15 15 
65 25675 0 0 0 26260 0 157904 0 0  0.0117850322596428 0.0160652212921523 0.0072917543826666 14 15 15 
66 224 0 0 0 27878 0 43542 0 0  0.0118686815041956 0.0160667495823217 0.0074003750985507 14 15 15 
67 36130 0 0 0 27149 0 162496 0 0  0.0119071025967085 0.01607308378198 0.0073471403930109 11 14 15 
68 57262 0 0 0 26788 0 289563 0 0  0.011925390579986 0.0160723065672833 0.0071217372698149 14 15 15 
69 60413 0 0 0 26260 0 224441 0 0  0.0119343670711578 0.0160793658370028 0.0070053265839168 8 10 15 
70 66085 0 0 0 26788 0 225140 0 0  0.0119216942285762 0.0160718937573018 0.0068949158197286 9 10 15 
71 66602 0 0 0 26260 0 240447 0 0  0.0119147608521491 0.0160848306896082 0.0067738986948491 6 10 15 
72 45602 0 0 0 26788 0 261144 0 0  0.0119195146692549 0.0160825423085142 0.006637507400078 9 10 15 
73 6781 0 8485 0 26671 0 166525 0 0  0.0119805868242264 0.0160904141780687 0.0065886706062097 9 10 15 
74 23403 0 19393 0 26260 0 65620 0 0  0.0119854405844704 0.0161076506807964 0.0066446368561272 7 11 15 
75 12496 0 16131 0 25849 0 202971 0 0  0.0118674383371428 0.0161189910570618 0.0065790928443319 8 11 15 
76 43085 0 11109 0 27435 0 461376 0 0  0.0116983474681081 0.0161148878704391 0.0062916873153289 11 13 15 
77 39486 0 5371 0 25907 0 417448 0 0  0.0116298289604425 0.0161149779240583 0.0060714293076071 7 11 15 
78 22695 0 8181 0 20186 0 337308 0 0  0.0116493503970015 0.0161886168001198 0.0059452170184123 7 11 15 
79 10446 0 17300 0 11679 0 201445 0 0  0.0115945689234194 0.0161828516259292 0.005956115967581 8 11 15 
80 3064 0 23397 0 26260 0 520397 0 0  0.0115062642347977 0.0161823316762127 0.0057135456446031 10 11 15 
81 3064 0 28208 0 27435 0 402069 0 0  0.0111784130861814 0.0161319746924979 0.0058122015558958 8 11 15 
82 0 0 19665 0 25632 0 200096 0 0  0.0110249343073406 0.0161030232312405 0.0061572229818202 10 10 15 
