Packet_Num,Time,Source,Destination,Protocol
"19","1264.442372","192.168.3.102","192.168.20.2","SIP"
"23","1264.476048","192.168.3.102","192.168.20.2","SIP"
"25","1264.555883","192.168.3.102","192.168.20.2","SIP"
"29","1264.585999","192.168.3.102","192.168.20.2","SIP"
"31","1264.647857","192.168.3.102","192.168.20.2","SIP"
"35","1264.683036","192.168.3.102","192.168.20.2","SIP"
"37","1264.744996","192.168.3.102","192.168.20.2","SIP"
"41","1264.775989","192.168.3.102","192.168.20.2","SIP"
"43","1264.855929","192.168.3.102","192.168.20.2","SIP"
"47","1264.88605","192.168.3.102","192.168.20.2","SIP"
"49","1264.948036","192.168.3.102","192.168.20.2","SIP"
"53","1264.983009","192.168.3.102","192.168.20.2","SIP"
"55","1265.044904","192.168.3.102","192.168.20.2","SIP"
"59","1265.075951","192.168.3.102","192.168.20.2","SIP"
"61","1265.155935","192.168.3.102","192.168.20.2","SIP"
"65","1265.185932","192.168.3.102","192.168.20.2","SIP"
"67","1265.247941","192.168.3.102","192.168.20.2","SIP"
"71","1265.282974","192.168.3.102","192.168.20.2","SIP"
"73","1265.344935","192.168.3.102","192.168.20.2","SIP"
"77","1265.375939","192.168.3.102","192.168.20.2","SIP"
"79","1265.455957","192.168.3.102","192.168.20.2","SIP"
"83","1265.485962","192.168.3.102","192.168.20.2","SIP"
"85","1265.548012","192.168.3.102","192.168.20.2","SIP"
"89","1265.582993","192.168.3.102","192.168.20.2","SIP"
"91","1265.644959","192.168.3.102","192.168.20.2","SIP"
"95","1265.675958","192.168.3.102","192.168.20.2","SIP"
"97","1265.755942","192.168.3.102","192.168.20.2","SIP"
"101","1265.786001","192.168.3.102","192.168.20.2","SIP"
"103","1265.847956","192.168.3.102","192.168.20.2","SIP"
"107","1265.883049","192.168.3.102","192.168.20.2","SIP"
"109","1265.944946","192.168.3.102","192.168.20.2","SIP"
"113","1265.976042","192.168.3.102","192.168.20.2","SIP"
"115","1266.055911","192.168.3.102","192.168.20.2","SIP"
"119","1266.085984","192.168.3.102","192.168.20.2","SIP"
"121","1266.14802","192.168.3.102","192.168.20.2","SIP"
"125","1266.182997","192.168.3.102","192.168.20.2","SIP"
"127","1266.244867","192.168.3.102","192.168.20.2","SIP"
"131","1266.276028","192.168.3.102","192.168.20.2","SIP"
"133","1266.355966","192.168.3.102","192.168.20.2","SIP"
"137","1266.386031","192.168.3.102","192.168.20.2","SIP"
"139","1266.44789","192.168.3.102","192.168.20.2","SIP"
"143","1266.482987","192.168.3.102","192.168.20.2","SIP"
"145","1266.544936","192.168.3.102","192.168.20.2","SIP"
