Packet_Num,Time,Source,Destination,Protocol
"43","4469.65287","192.168.20.3","192.168.3.103","TCP"
"44","4469.652886","192.168.3.103","192.168.20.3","TCP"
"45","4469.679331","192.168.20.3","192.168.3.103","TCP"
"46","4469.687259","192.168.20.3","192.168.3.103","HTTP"
"47","4469.687269","192.168.3.103","192.168.20.3","TCP"
"48","4469.687398","192.168.3.103","192.168.20.3","TCP"
"49","4469.687439","192.168.3.103","192.168.20.3","HTTP"
"50","4469.712275","192.168.20.3","192.168.3.103","TCP"
"51","4469.720155","192.168.20.3","192.168.3.103","TCP"
"52","4469.728189","192.168.20.3","192.168.3.103","TCP"
"53","4469.728222","192.168.3.103","192.168.20.3","TCP"
"54","4469.75221","192.168.20.3","192.168.3.103","TCP"
"56","4564.557852","192.168.20.3","192.168.3.103","TCP"
"59","4564.558136","192.168.3.103","192.168.20.3","TCP"
"60","4564.58256","192.168.20.3","192.168.3.103","TCP"
"61","4564.590657","192.168.20.3","192.168.3.103","HTTP"
"62","4564.590675","192.168.3.103","192.168.20.3","TCP"
"63","4564.590743","192.168.3.103","192.168.20.3","TCP"
"64","4564.590776","192.168.3.103","192.168.20.3","HTTP"
"65","4564.61257","192.168.20.3","192.168.3.103","TCP"
"66","4564.620503","192.168.20.3","192.168.3.103","TCP"
"67","4564.628529","192.168.20.3","192.168.3.103","TCP"
"68","4564.628561","192.168.3.103","192.168.20.3","TCP"
"69","4564.6526","192.168.20.3","192.168.3.103","TCP"
