UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
0,0,24344,0,0,0,0,0,0,15.472543271,0.006355572820987648,None,None,11,14,15,
0,0,25094,0,0,0,0,0,0,16.50513963,0.0060793257701492595,None,None,12,14,14,
0,0,19459,0,0,0,0,0,0,17.520085344,0.006547332535331908,None,None,7,8,13,
0,0,20678,0,25773,0,0,0,0,18.549117004,0.006750631200663354,0.016272521677966098,None,7,8,13,
0,0,21156,0,25980,0,0,0,0,19.5651362,0.006799726722520109,0.016189255525423718,None,6,8,13,
0,0,25375,0,26539,0,0,0,0,20.57213999,0.006631157884026261,0.01632277023595505,None,12,14,15,
0,0,21568,0,25980,0,0,0,0,21.586554894,0.006631279557855131,0.016490260776371314,None,14,14,15,
0,0,24748,0,26859,0,0,0,0,22.589541446,0.00653702485052803,0.016460367540268472,None,11,14,15,
0,0,15719,0,26386,0,0,0,0,23.600192915,0.006503748312874255,0.016494922729050288,None,13,15,15,
0,0,0,0,27293,0,0,0,0,24.619377547,None,0.016600237373809536,None,13,15,15,
0,0,0,0,26859,0,0,0,0,25.686612851,None,0.016635802891891902,None,7,8,14,
0,0,0,0,25980,0,0,0,0,26.716354119,None,0.016694221390740754,None,11,14,15,
0,0,0,0,27365,0,0,0,0,27.729433735,None,0.0167305129601329,None,7,8,13,
0,0,0,0,27507,0,0,0,0,28.78667414,None,0.016759468719879527,None,7,8,13,
0,0,0,0,27534,0,0,0,0,29.847183846,None,0.01676770162121213,None,8,8,13,
0,0,0,0,27507,0,0,0,0,30.892474187,None,0.016778032832487313,None,7,8,12,
0,0,0,0,27534,0,0,0,0,31.942207038,None,0.016782545648235298,None,12,14,15,
0,0,0,0,26210,0,0,0,0,32.986599803,None,0.016796346244224426,None,10,13,15,
0,0,0,0,26210,0,0,0,0,33.989665536,None,0.016813475642561995,None,13,15,15,
0,0,0,0,25690,0,0,0,0,34.9975523,None,0.01688116394731708,None,7,10,14,
0,0,0,0,29056,0,0,0,0,36.026296855,None,0.016794820727522947,None,12,14,15,
0,0,0,0,26620,0,0,0,0,37.029478936,None,0.016798341793913058,None,7,8,12,
0,0,0,0,28061,0,0,0,0,38.044200201,None,0.016788269597691682,None,6,8,13,
0,0,0,0,26980,0,0,0,0,39.090581859,None,0.01676938363579279,None,7,8,13,
0,0,0,0,25850,0,0,0,0,40.09062821,None,0.016791924310060075,None,7,8,12,
0,0,15603,0,25648,0,0,0,0,41.093590494,0.00665046748783878,0.01678470125035973,None,6,8,12,
0,0,23331,0,26737,0,0,0,0,42.110222795,0.006613814698125002,0.016753191428275877,None,7,9,13,
0,0,24336,0,28069,0,0,0,0,43.130332347,0.0065743392718501745,0.016689692727693335,None,8,8,13,
0,0,3724,0,27382,0,0,0,0,44.135245153,0.006572127337807611,0.016653826593015883,None,7,8,13,
0,0,0,0,26772,0,0,0,0,45.189241533,None,0.016675731565749242,None,7,8,13,
0,0,0,0,28034,0,0,0,0,46.224559235,None,0.01665635910424029,None,8,8,13,
1284,0,0,0,27944,0,0,0,0,47.246279841,0.006526738354016624,0.016654455220897223,None,7,8,13,
362,0,0,0,27097,0,0,0,0,48.292603741,0.006524527410171369,0.016641309415477503,None,7,8,13,
15096,0,0,0,26210,0,0,0,0,49.32057844,0.006939962316531168,0.016626701014885704,None,7,8,12,
340,0,0,0,26737,0,0,0,0,50.330309727,0.0074427950027056294,0.01660854255435343,None,8,8,13,
38647,0,0,0,27030,0,0,0,0,51.340304444,0.007511624607515662,0.01660199695604396,None,7,8,12,
36820,0,0,0,26972,0,0,0,0,52.345247203,0.007822387798882684,0.01658920379301988,None,7,8,12,
35006,0,0,0,26772,0,0,0,0,53.392373364,0.008147596664015908,0.01659371895336788,None,7,8,12,
77733,0,0,0,27624,0,0,0,0,54.397633919,0.008279973323655406,0.016576846459954237,None,7,8,12,
34054,0,0,0,26620,0,0,0,0,55.402333336,0.008525420683039856,0.016556261315812924,None,7,8,12,
36979,0,0,0,26210,0,0,0,0,56.430222924,0.00875403840342961,0.016544790746527784,None,7,8,13,
35959,0,0,0,26210,0,0,0,0,57.433311384,0.008955903442392265,0.016534722688108343,None,6,8,12,
30709,0,0,0,27557,0,0,0,0,58.441284055,0.00915108116602151,0.01652558888536083,None,7,8,12,
21563,0,0,0,26972,0,0,0,0,59.444570357,0.009433639344637564,0.016522364306516494,None,7,8,12,
42156,0,0,0,26210,0,0,0,0,60.446317589,0.00959963427156418,0.016510727301768176,None,7,8,12,
42056,0,0,0,26210,0,0,0,0,61.457590591,0.00978319582869811,0.016502339536098313,None,7,8,13,
30821,0,0,0,26737,0,0,0,0,62.490009312,0.010008926331089114,0.016491887342342346,None,7,8,13,
43907,0,0,0,28069,0,0,0,0,63.492341209,0.010164263261996905,0.01647518220645398,None,7,8,13,
45064,0,0,0,26210,0,0,0,0,64.514127459,0.010322307256245274,0.01647025167552046,None,8,7,12,
50973,0,0,0,27382,0,0,0,0,65.54134411,0.010440517366322018,0.016455561578300568,None,11,14,15,
61757,0,0,0,24628,0,0,0,0,66.550292454,0.010511631183482953,0.01646908084602136,None,12,14,15,
53306,0,0,0,26492,0,0,0,0,67.561560762,0.010624441715087729,0.01645744835989197,None,12,14,15,
39791,0,0,0,25682,0,0,0,0,68.568909951,0.010786747859655183,0.016464798609804578,None,7,10,14,
70063,0,0,0,29653,0,0,0,0,69.580967326,0.010831933530872492,0.016436415945867103,None,8,10,14,
59914,0,0,0,26385,0,0,0,0,70.586738189,0.01088202420019628,0.016447175628180665,None,6,8,13,
94104,0,0,0,28421,0,0,0,0,71.592359786,0.010846699693257371,0.016429990449189528,None,7,8,12,
80436,0,0,0,27534,0,0,0,0,72.60965786,0.0108497355672101,0.016415116818960247,None,7,8,12,
107055,0,0,0,26210,0,0,0,0,73.622403921,0.01075612879810259,0.01640817775398018,None,7,8,12,
46524,0,0,0,27147,0,0,0,0,74.631512405,0.010866648925947532,0.016410838302064905,None,7,8,12,
89581,0,0,0,26972,0,0,0,0,75.644394453,0.01082410979450893,0.016408286488264277,None,7,8,12,
46811,0,0,0,27182,0,0,0,0,76.650379834,0.010939428829988863,0.01639101023063782,None,7,8,13,
76667,0,0,0,26737,0,0,0,0,77.669633812,0.010916816538899443,0.016380576615341553,None,6,8,13,
49181,0,0,0,27659,0,0,0,0,78.697410146,0.011020004430288475,0.01637501287561916,None,6,8,12,
67658,0,0,0,26210,0,0,0,0,79.705033763,0.011057506589743603,0.016366439428378017,None,7,8,13,
62174,0,0,0,26620,0,0,0,0,80.728142801,0.011090372125576639,0.016359842571809224,None,7,8,13,
65777,0,0,0,27909,0,0,0,0,81.750410241,0.011105284916478568,0.016348991286687636,None,8,8,13,
45532,0,0,0,26210,0,0,0,0,82.767722157,0.011184009737960004,0.016347627776516133,None,8,10,14,
60879,0,0,0,23256,0,0,0,0,83.790245789,0.011230612426595503,0.016389467772287322,None,7,8,13,
66584,0,0,0,31152,0,0,0,0,84.790711472,0.011248579874047636,0.016357137851564462,None,8,10,14,
64603,0,0,0,29158,0,0,0,0,85.79273663,0.011270533321103077,0.016341339547290647,None,7,8,12,
76975,0,0,0,27534,0,0,0,0,86.804043604,0.01127098426573588,0.016327722470645324,None,8,8,13,
66766,0,0,0,17840,0,0,0,0,87.835374623,0.01130386471178059,0.01632601780105719,None,7,8,13,
66025,0,0,0,0,0,0,0,0,89.041273879,0.01134888857986727,None,None,6,7,12,
86795,0,0,0,1082,0,0,0,0,90.063701068,0.011335034324447347,0.016332918977420136,None,7,8,12,
127089,0,0,0,0,0,0,0,0,91.076705428,0.011226514540016863,None,None,7,8,13,
107539,0,0,0,0,0,0,0,0,92.085577758,0.011173588150904619,None,None,7,8,13,
87619,0,0,0,0,0,0,0,0,93.205078745,0.011151549872078982,None,None,7,8,12,
76340,0,0,0,1082,0,0,0,0,94.218132154,0.011168490752773388,0.016339441916186366,None,7,8,12,
91063,0,0,0,0,0,0,0,0,95.29040869,0.011128502313809165,None,None,7,8,13,
94440,0,148,0,0,0,0,0,0,96.2944943,0.011098271755369713,None,None,7,8,12,
87296,0,17416,0,0,0,0,0,0,97.312422597,0.010887557049862523,None,None,7,8,12,
105705,0,17630,0,0,0,0,0,0,98.322453107,0.010648516688348326,None,None,7,8,13,
89824,0,19673,1284,0,0,0,0,0,99.342456747,0.010376187418750009,0.016284004139201152,None,7,7,13,
25708,0,22441,3073,0,0,0,0,0,100.360472805,0.01021665543331698,0.016259029420752028,None,7,8,12,
27108,0,19805,11206,0,0,0,0,0,101.37241499,0.010080399306054358,0.0163587500071006,None,7,8,13,
28995,0,19327,28659,0,0,0,0,0,102.388297895,0.00996141872093384,0.016307439658582095,None,7,8,13,
11055,0,24682,42030,0,0,0,0,0,103.39638141,0.009816183501125293,0.016309121630259837,None,7,8,12,
3064,0,22919,32923,0,0,0,0,0,104.402315202,0.009705213127155816,0.016352685629233924,None,7,8,13,
3064,0,26033,46014,0,0,0,0,0,105.411461767,0.009576858851783441,0.016341614882590193,None,7,9,13,
3064,0,24748,33526,0,0,0,0,0,106.426651399,0.009464252996402392,0.016372214005095264,None,8,9,14,
3064,0,22985,31864,0,0,0,0,0,107.434652851,0.009371901598109397,0.016390410579154812,None,7,6,13,
3064,0,24616,30876,0,0,0,0,0,108.435432799,0.009272482681153707,0.016402070849448416,None,10,13,15,
3064,0,24814,28934,0,0,0,0,0,109.442693342,0.009172784498072982,0.01643637583761233,None,7,8,13,
3064,0,24550,20448,0,0,0,0,0,110.445446788,0.009083291481119068,0.016526480166560446,None,7,7,13,
3064,0,25094,23029,0,0,0,0,0,111.452433927,0.008990071946730358,0.01659581057428873,None,6,8,12,
3064,0,24616,36469,0,0,0,0,0,112.462856426,0.008905940793631805,0.016595746370370375,None,8,8,13,
546,0,21288,30441,0,0,0,0,0,113.480440089,0.00886620952304799,0.016637194129610556,None,7,7,12,
0,0,25967,21078,0,0,0,0,0,114.480511194,0.008806505840940537,0.016705253167620608,None,7,8,13,
0,0,25028,32920,0,0,0,0,0,115.48855693,0.008746428541026233,0.01673539597450941,None,7,8,12,
0,0,26033,27558,0,0,0,0,0,116.495610595,0.008688258166722104,0.0167789521737475,None,7,6,12,
0,0,25160,32142,0,0,0,0,0,117.522523513,0.008633690548015239,0.016787267790328977,None,7,8,13,
0,0,22919,23111,0,0,0,0,0,118.539817855,0.008598597322032098,0.01684819956468738,None,7,8,13,
0,0,24982,17043,0,0,0,0,0,119.550617142,0.008550096806617662,0.0169421775809226,None,6,7,12,
0,0,24382,20933,0,0,0,0,0,120.550759929,0.008507710868855859,0.017004681212955782,None,11,12,15,
0,0,22853,27883,0,0,0,0,0,121.56251913,0.008474974695974805,0.017025205322512487,None,7,7,12,
0,0,24336,18408,0,0,0,0,0,122.567484864,0.008437183140000014,0.017087512126814364,None,12,9,13,
0,0,24682,24593,0,0,0,0,0,123.572546186,0.008394488195141157,0.01715243608437619,None,6,9,14,
