UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
22993,0,0,0,0,0,0,0,0,43.681294751,0.010608186505263156,0,0,13,15,15,
4850,0,0,0,0,0,0,0,0,44.689103832,0.01714508266129033,0,0,14,14,15,
44188,0,0,0,0,0,0,0,0,45.836888193,0.017528793883333352,0,0,14,15,15,
43878,0,0,0,0,0,0,0,0,46.866099989,0.018003235497835512,0,0,14,15,15,
116040,0,0,0,0,0,0,0,0,47.8798114,0.014573565426553678,0,0,14,14,15,
46663,0,0,0,0,0,0,0,0,48.885218285,0.014854741807228922,0,0,14,14,15,
53285,0,0,0,0,0,0,0,0,49.91630886,0.015156108344608881,0,0,14,15,15,
96946,0,0,0,0,0,0,0,0,50.930569466,0.014029676319039449,0,0,14,15,15,
71242,0,0,0,0,0,0,0,0,51.948964819,0.01380402758496241,0,0,12,14,15,
86989,0,0,0,0,0,0,0,0,52.957915492,0.013309023091383819,0,0,14,15,15,
12964,0,0,0,0,0,0,0,0,53.983066031,0.014272199983502543,0,0,14,14,15,
10903,0,0,0,0,0,0,0,0,55.04490502,0.015337684626400994,0,0,13,15,15,
80606,0,0,0,0,0,0,0,0,56.169973498,0.015005982025900904,0,0,14,14,15,
87816,0,0,0,0,0,0,0,0,57.194282747,0.014731258965306124,0,0,10,11,15,
147241,0,0,0,0,0,0,0,0,58.379058816,0.01371223269449379,0,0,10,10,15,
142701,0,0,0,0,0,0,0,0,59.392550793,0.012870891429577473,0,0,9,10,15,
54016,0,0,0,0,0,0,0,0,60.408944239,0.012973258283271383,0,0,10,12,15,
41972,0,0,0,0,0,0,0,0,61.408997538,0.013132350891103206,0,0,14,14,15,
19956,0,0,0,0,0,0,0,0,62.421783261,0.013543361683553091,0,0,13,15,15,
25005,0,0,0,0,0,0,0,1911,63.788963447,0.013933548429639703,0,0.00689981446153791,14,14,15,
60430,0,0,0,0,0,0,0,22853,64.794625698,0.013901230873303168,0,0.006388976209580813,14,15,15,
49248,0,0,0,0,0,0,0,24270,65.818970002,0.013980237432298136,0,0.006250756637195123,14,14,15,
50562,0,0,0,1433,0,0,0,25094,66.827072494,0.014035850361791039,0.00020371450000311597,0.006028590986027934,12,14,15,
54426,0,0,0,25927,0,0,0,24814,67.834415089,0.014055077715433153,0.015927267229508484,0.005997560101492532,13,14,15,
57668,0,0,0,27246,0,0,0,26033,68.840996327,0.014041694931129469,0.015926683577235874,0.005955257008303679,12,14,15,
56233,0,0,0,26838,0,0,0,24550,69.84590009,0.01400834608989952,0.015697056923913103,0.005948042660714292,12,14,15,
20169,0,0,0,26080,0,0,0,24682,70.852992296,0.014340821067292646,0.015755943283950656,0.005942850059574481,11,14,15,
73076,0,0,0,26080,0,0,0,21486,71.865073849,0.01424505515492254,0.015767947930463603,0.005940880612244908,11,12,15,
85292,0,0,0,26080,0,0,0,0,72.883951783,0.014039855085156993,0.015806880063711903,0,13,14,14,
82993,0,0,0,26639,0,0,0,0,73.901000476,0.013861739204906865,0.01588925597149641,0,12,15,15,
66832,0,0,0,26080,0,0,0,0,74.902305107,0.01379474480735552,0.016027451585416644,0,14,15,15,
61556,0,0,0,26963,0,0,0,0,75.906375053,0.01378267720229008,0.016061284075785567,0,12,13,15,
68843,0,0,0,24674,0,0,0,0,76.908917166,0.013715798525173973,0.016051054063651593,0,13,13,15,
71294,0,0,0,27711,0,0,0,0,77.919151879,0.013634728594466412,0.016029996113808807,0,14,14,15,
74038,0,0,0,26671,0,0,0,0,78.930226419,0.01356314021062692,0.016092788211404745,0,8,10,15,
43555,0,0,0,25849,0,0,0,0,79.937188274,0.013668864282128148,0.01614415728314031,0,11,14,15,
97218,0,0,0,26260,0,0,0,0,80.940196071,0.013515120550667158,0.016173777328947394,0,10,12,15,
109553,0,0,0,26671,0,0,0,0,81.952189867,0.013310156048442915,0.016212358172991097,0,6,11,15,
105532,0,0,0,27024,0,0,0,0,82.95720707,0.013147752466022657,0.016216637025078404,0,8,10,15,
105920,0,0,0,25613,0,0,0,0,83.972199498,0.012988787672978182,0.016207878363905366,0,10,12,15,
108270,0,0,0,26788,0,0,0,0,84.985862552,0.012830607485307769,0.016177050932029834,0,11,12,15,
127461,0,0,0,26822,0,0,0,0,86.004115809,0.01262981892328279,0.016205530597001805,0,8,11,15,
129090,0,0,0,26788,0,0,0,0,87.00734006,0.01241572852670666,0.016233440750418802,0,6,10,15,
102687,0,0,0,25613,0,0,0,0,88.013275531,0.012309132818106316,0.016293671967226253,0,8,10,15,
97513,0,0,0,26788,0,0,0,8485,89.014230705,0.012222221074751278,0.016311418419527105,0.0059027826840958725,6,11,15,
92395,0,0,0,26502,0,0,0,26923,90.015403119,0.012116602223845554,0.016333752603649665,0.005841419832373656,10,10,15,
94620,0,0,0,27844,0,0,0,29493,91.026620928,0.012054628170223578,0.016313160508379915,0.005753537675952262,8,10,15,
97663,0,0,0,27435,0,0,0,12671,92.036975743,0.011969948009634386,0.01629048923828651,0.005850233350839211,10,10,15,
102383,0,0,0,26788,0,0,0,0,93.054486536,0.011873911054981994,0.016263417836550862,0,10,10,14,
94250,0,0,0,26260,0,4357,0,0,94.062204565,0.01180319601777778,0.016245339554246768,0.006152391918345721,4,10,15,
80744,0,0,0,27316,0,29318,0,0,95.081341049,0.011781534287087914,0.01622652373058544,0.006439418522319154,10,11,15,
74263,0,0,0,26260,0,13072,0,0,96.093008266,0.011765221532630639,0.016204576132140814,0.006878223162354153,0,11,15,
91409,0,0,0,26788,0,109125,0,0,97.102080597,0.01172237809254386,0.01619065798605691,0.006972886972222239,7,11,15,
99357,0,0,0,27711,0,150332,0,0,98.110423537,0.011629025856044427,0.016188216238274954,0.006958796542486596,8,10,15,
92483,0,0,0,25865,0,130448,0,0,99.11346846,0.011567409044022533,0.01617102461683222,0.006982193088570234,10,10,15,
81757,0,0,0,27711,0,86286,0,0,100.11745889,0.011536834260220771,0.016137013244556984,0.007104906616194342,4,11,15,
63074,0,0,0,26788,0,128763,0,0,101.124951836,0.011548334988942505,0.016139931163144987,0.007118596428023042,2,10,15,
56439,0,0,0,26260,0,56124,0,0,102.133904156,0.011556115161360493,0.0161404883763133,0.007313235141092826,9,10,14,
60090,0,0,0,28491,0,64597,0,0,103.14510854,0.0115673830511972,0.01612434898748844,0.007433878718304724,13,14,15,
65027,0,0,0,25849,0,128144,0,0,104.158732227,0.01157326196877993,0.016124481953971145,0.007440907189330555,8,10,14,
59373,0,0,0,26788,0,156382,0,0,105.164058195,0.011587036462176951,0.01610817272275925,0.007375064741168712,8,10,15,
45879,0,0,0,26260,0,139529,0,0,106.172736876,0.011621952177653636,0.016103012746466833,0.007363860388328084,8,11,15,
43285,0,0,0,27316,0,125105,0,0,107.179019506,0.01166061255939684,0.016082180588480825,0.0073711846643441485,10,10,14,
39196,0,0,0,26260,0,135098,0,0,108.186438197,0.01170717879018182,0.016078768390224055,0.007368183682664351,14,14,15,
42781,0,0,0,26788,0,147951,0,0,109.191630088,0.011756681706167959,0.016072949749105392,0.007347814108228744,14,15,15,
25675,0,0,0,26260,0,157904,0,0,110.206839557,0.01178503225964286,0.016065221292152317,0.0072917543826666814,14,15,15,
224,0,0,0,27878,0,43542,0,0,111.210055876,0.011868681504195684,0.016066749582321727,0.007400375098550739,14,15,15,
36130,0,0,0,27149,0,162496,0,0,112.21042393,0.011907102596708553,0.016073083781980003,0.007347140393010905,11,14,15,
57262,0,0,0,26788,0,289563,0,0,113.213673433,0.011925390579986036,0.016072306567283305,0.007121737269814917,14,15,15,
60413,0,0,0,26260,0,224441,0,0,114.218911944,0.01193436707115783,0.016079365837002865,0.007005326583916888,8,10,15,
66085,0,0,0,26788,0,225140,0,0,115.224476704,0.011921694228576285,0.01607189375730183,0.006894915819728637,9,10,15,
66602,0,0,0,26260,0,240447,0,0,116.227134117,0.011914760852149197,0.0160848306896082,0.00677389869484918,6,10,15,
45602,0,0,0,26788,0,261144,0,0,117.227314196,0.01191951466925492,0.01608254230851421,0.006637507400078077,9,10,15,
6781,0,0,0,26671,0,166525,0,0,118.233724265,0.01198058682422647,0.016090414178068755,0.0065886706062097825,9,10,15,
23403,0,8485,0,26260,0,65620,0,0,119.237173845,0.01198544058447044,0.01610765068079642,0.006644636856127236,7,11,15,
12496,0,19393,0,25849,0,202971,0,0,120.240196935,0.011867438337142861,0.01611899105706181,0.006579092844331963,8,11,15,
43085,0,16131,0,27435,0,461376,0,0,121.240366794,0.011698347468108113,0.016114887870439108,0.006291687315328973,11,13,15,
39486,0,11109,0,25907,0,417448,0,0,122.242913991,0.011629828960442564,0.016114977924058346,0.006071429307607163,7,11,15,
22695,0,5371,0,20186,0,337308,0,0,123.245356533,0.011649350397001504,0.016188616800119886,0.005945217018412331,7,11,15,
10446,0,8181,0,11679,0,201445,0,0,124.249579147,0.011594568923419415,0.01618285162592925,0.005956115967581061,8,11,15,
3064,0,17300,0,26260,0,520397,0,0,125.459442217,0.011506264234797793,0.016182331676212764,0.005713545644603145,10,11,15,
3064,0,23397,0,27435,0,402069,0,0,133.945149462,0.01117841308618148,0.016131974692497962,0.005812201555895875,8,11,15,
0,0,28208,0,0,0,200096,0,0,138.117219664,0.01102493430734065,0,0.006157222981820285,10,10,15,
0,0,0,0,0,0,384718,0,0,142.56781001,0,0,0.006322253415730349,10,10,15,
0,0,0,0,0,0,13119,0,0,143.570549028,0,0,0.00645966071363192,9,10,15,
0,0,0,4666,0,0,421190,0,148,144.894798182,0,0.016200357134116387,0.006304575848446829,10,10,15,
0,0,0,45967,0,0,108814,0,22985,149.021220791,0,0.01607993277514484,0.006415143205299349,8,11,15,
0,0,0,1211,0,0,1136,0,0,150.037739428,0,0.01607993277514484,0.006415143205299349,8,10,15,
0,0,0,40358,0,0,3064,0,16890,153.732955413,0,0.016071139124328494,0.006547305658232751,8,11,15,
0,0,0,36782,0,0,3064,0,28686,158.963004019,0,0.01695213651719811,0.006544332219440786,13,14,15,
0,0,0,19709,0,0,3064,0,29493,159.971099612,0,0.017054811109172497,0.0065030116600333365,11,12,15,
0,0,0,86827,0,0,3230,0,28620,160.990980454,0,0.016896428011681685,0.006463069263969535,11,13,15,
0,0,0,92727,0,0,2760,0,21008,162.000000056,0,0.016706277528463005,0.006457215200357635,10,10,15,
0,0,0,78122,0,0,0,0,28686,164.8409792,0,0.016475846591462017,0.006432750402266552,10,10,15,
0,0,0,60331,0,0,0,0,20612,165.841037874,0,0.016449863141306812,0.0064433325300399516,8,10,15,
0,0,27664,14997,0,0,0,0,26511,169.279044982,0.010832752389217791,0.016418123212455032,0.0064262184403450495,11,11,15,
0,0,21868,179421,0,0,0,0,29559,173.281950119,0.010676425287509152,0.01660408318889129,0.00641521606376934,9,10,15,
0,0,1529,90342,0,0,0,0,15867,174.282140618,0.010679074671743638,0.01656200712441811,0.0064006325738900065,8,11,15,
0,0,27862,287087,0,0,0,0,27730,179.689021135,0.010495992971592913,0.016196847111132735,0.006373672771191236,9,10,15,
0,0,24748,222844,0,0,0,0,29493,183.541132042,0.010403891770744621,0.015735282696618717,0.006577029384572666,8,11,15,
