UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
23883,0,0,0,0,0,0,0,0,0.00025727,0.009320451836363637,0,0,14,14,15,
1402,0,0,0,0,0,0,0,0,1.025548632,0.018392052206349208,0,0,14,15,15,
55807,0,0,0,0,0,0,0,0,2.320444722,0.017095570302564103,0,0,14,15,15,
42626,0,0,0,0,0,0,0,0,3.3590348,0.017112238917322838,0,0,12,15,15,
41106,0,0,0,0,0,0,0,0,4.38422227,0.0172694073,0,0,14,15,15,
28328,0,0,0,0,0,0,0,0,5.421587343,0.01810616334188034,0,0,14,14,15,
33125,0,0,0,0,0,0,0,0,6.448631155,0.018733302641221375,0,0,13,15,15,
49195,0,0,0,0,0,0,0,0,7.475812352,0.01818546080434783,0,0,12,15,15,
58246,0,0,0,0,0,0,0,0,8.493747878,0.017704540388679246,0,0,14,14,15,
52356,0,0,0,0,0,0,0,0,9.532138055,0.017367835757525082,0,0,12,14,15,
47430,0,0,0,0,0,0,0,0,10.534917431,0.017280837660091048,0,0,14,15,15,
43073,0,0,0,0,0,0,0,0,11.549887186,0.017374628963534363,0,0,11,15,15,
42727,0,0,0,0,0,0,0,0,12.550269482,0.01760626461197917,0,0,14,15,15,
53750,0,0,0,0,0,0,0,0,13.698941749,0.017476014691937426,0,0,13,14,15,
61328,0,0,0,0,0,0,0,0,14.73169872,0.017084647325632564,0,0,0,11,15,
29423,0,0,0,0,0,0,0,0,15.764426461,0.017248969604796664,0,0,11,12,15,
14589,0,0,0,0,0,0,0,0,16.800886823,0.017720055730303035,0,0,11,14,15,
23102,0,0,0,0,0,0,0,0,17.892953566,0.018107604770731714,0,0,14,14,15,
37099,0,0,0,0,0,0,0,0,18.919926222,0.018185704941449818,0,0,14,14,15,
21456,0,0,0,0,0,0,0,0,19.957823386,0.018594787560072268,0,0,14,15,15,
27937,0,0,0,0,0,0,0,15603,20.979907939,0.018765724341463414,0,0.00647337352427185,14,15,15,
26293,0,0,0,0,0,0,0,24616,21.993883623,0.01900822945147679,0,0.006189983286245365,14,14,15,
24602,0,0,0,0,0,0,0,25160,23.018926652,0.019163296112571896,0,0.006049977920993232,13,14,15,
36848,0,0,0,16877,0,0,0,24616,24.041999331,0.019234125206022183,0.016105433342105277,0.0060215158998357995,13,14,15,
31760,0,0,0,25926,0,0,0,23051,25.05596366,0.0193903179409056,0.016588414185566995,0.006090237498694518,14,14,15,
30717,0,0,0,24414,0,0,0,24204,26.060242439,0.019546156359642585,0.016980317927631574,0.006119978927645787,12,14,15,
31659,0,0,0,28300,0,0,0,23565,27.067896507,0.01953166390021536,0.01649558829032257,0.006123103628099173,11,12,15,
40654,0,0,0,25980,0,0,0,24514,28.072070181,0.01950317991211072,0.01631495985144927,0.00611153807888446,13,14,15,
21319,0,0,0,25980,0,0,0,19694,29.082065948,0.019754723346648604,0.016230591973134322,0.006146168105720491,11,12,15,
33429,0,0,0,27257,0,0,0,4094,30.086225749,0.019676344791395038,0.016056971327455916,0.006159117726756563,14,15,15,
30577,0,0,0,26539,0,0,0,0,31.118958904,0.019769352169416235,0.016145905175054702,0,14,15,15,
30639,0,0,0,26453,0,0,0,0,32.131411895,0.019748753877160484,0.016224956760154736,0,12,13,15,
30205,0,0,0,25574,0,0,0,0,33.141985168,0.019905313612786482,0.01613824187130435,0,11,14,15,
27384,0,0,0,26585,0,0,0,0,34.15606648,0.019978136863555814,0.016199420009448816,0,14,14,15,
35211,0,0,0,26972,0,0,0,0,35.163233881,0.020026498350978132,0.016202266479885062,0,6,11,15,
36222,0,0,0,26210,0,0,0,0,36.193305097,0.020032483538590603,0.016202913260927154,0,12,14,15,
24158,0,0,0,26772,0,0,0,0,37.20993318,0.02011950960219178,0.016237052400000004,0,10,11,15,
29971,0,0,0,27859,0,0,0,0,38.231307719,0.020160723403856454,0.01619409307403189,0,8,11,15,
26193,0,0,0,26210,0,0,0,0,39.24899755,0.02025509243710692,0.0162174326221985,0,10,10,15,
31433,0,0,0,26620,0,0,0,0,40.26317757,0.02023916277516607,0.01624454067502507,0,11,11,15,
30211,0,0,0,26972,0,0,0,0,41.263258766,0.02032036064382191,0.016248601010396966,0,11,12,15,
37972,0,0,0,25800,0,0,0,0,42.304015433,0.020257298904136255,0.016251873198924727,0,10,11,15,
23466,0,0,0,26772,0,0,0,0,43.328036554,0.02029410073724368,0.016276506519557817,0,10,10,15,
20302,0,0,0,26210,0,0,0,0,44.332446027,0.020416186008438822,0.01631485352388663,0,9,10,14,
36691,0,0,0,26210,0,0,0,0,45.340405616,0.020322413717222477,0.016349622705564136,0,9,10,15,
28584,0,0,0,27507,0,0,0,1845,46.348274572,0.020320436508497318,0.016352712287610614,0.006155067430682613,9,10,15,
26978,0,0,0,26972,0,0,0,22573,47.366955836,0.020305884721225385,0.01635411407974594,0.006208355180776569,7,10,15,
15773,0,0,0,26210,0,0,0,19739,48.383921589,0.020410849524547806,0.01633609662737127,0.006285016968365546,7,11,15,
9925,0,0,0,26210,0,0,0,19311,49.386013023,0.020598149540459968,0.0162693319465798,0.00633451900217746,6,11,15,
17723,0,0,0,26972,0,74,0,0,50.410619943,0.020703243024339072,0.016242376897243106,0.00633451900217746,9,10,15,
11306,0,0,0,26772,0,16602,0,0,51.412107074,0.020908779998335417,0.016252967086352654,0.00667018680464625,9,10,15,
24773,0,0,0,27097,0,53346,0,0,52.421482132,0.020933547554738564,0.016256147244030284,0.006732656442142494,10,10,15,
20209,0,0,0,26737,0,100651,0,0,53.451115591,0.02101824906438632,0.01625448895272932,0.006844162445771618,7,11,15,
10485,0,0,0,26210,0,97459,0,0,54.454770745,0.02119334314456392,0.01625997931318083,0.006961176188465033,6,10,15,
17344,0,0,0,27382,0,129877,0,0,55.460122129,0.02124820468627451,0.016253799789251844,0.006978937431380935,9,10,15,
21346,0,0,0,26210,0,86134,0,0,56.471971299,0.021244193218027733,0.016239633328564127,0.007110867336206899,9,10,15,
2229,0,0,0,26210,0,64605,0,0,57.482358342,0.02151586870886076,0.016228592402777776,0.007309369613083371,6,11,15,
20164,0,0,0,26210,0,96497,0,0,58.489951103,0.02157134857277883,0.01622661624915663,0.007407121272030654,7,11,15,
17958,0,0,0,25038,0,103248,0,0,59.503038002,0.02156901072375279,0.01622315464664477,0.007481133172122107,13,14,15,
21472,0,0,0,29978,0,95640,0,0,60.521782458,0.021606414764576455,0.01618053354231119,0.007556435402974509,9,10,15,
19593,0,0,0,27030,0,78511,0,0,61.531967103,0.021652472942898446,0.016187152340858785,0.00766516754979396,7,11,15,
17224,0,0,0,26972,0,101511,0,0,62.552261916,0.021673344281594873,0.01619330440560345,0.0077070389077685975,7,11,15,
4948,0,0,0,26620,0,59788,0,0,63.556071367,0.021843568424381624,0.016207741484033613,0.007865076141701715,7,11,15,
17510,0,0,0,24351,0,103128,0,0,64.563346329,0.021946634203496504,0.016245932001232033,0.007909805841611994,14,15,15,
6088,0,0,0,29393,0,107076,0,0,65.580115694,0.02210666441597222,0.01621265342063175,0.00791309664819277,12,14,15,
15454,0,0,0,27097,0,104077,0,0,66.620357715,0.02226269463313813,0.01621621573380172,0.007930405415330806,14,15,15,
14000,0,0,0,26620,0,92740,0,0,67.642030337,0.022398602801980194,0.016212502177345534,0.00798483993348429,12,14,15,
13996,0,0,0,26620,0,114687,0,0,68.648377756,0.02251234874314721,0.01622154939783743,0.007999739662832097,11,13,15,
16208,0,0,0,25800,0,90004,0,0,69.653237308,0.022608874174204353,0.01623590632007299,0.008049236070685514,9,10,15,
12610,0,0,0,26210,0,121935,0,0,70.668234814,0.022710728495522383,0.01624101079171132,0.008031017241494845,9,11,15,
9704,0,0,0,28319,0,130654,0,0,71.674438978,0.022842062987792802,0.01622136355221795,0.008006303763505102,7,11,15,
8702,0,0,0,26947,0,115660,0,0,72.680529018,0.023040438769862108,0.016212519490591857,0.008015985676413723,10,11,15,
16448,0,0,0,25448,0,123728,0,0,73.694448533,0.02312875446831329,0.01622329912416107,0.008010795536568211,10,11,15,
17061,0,0,0,25171,0,37986,0,0,74.703984143,0.023136717315165114,0.01624154193776753,0.008136465589405503,7,11,15,
3381,0,6722,0,29803,0,13185,0,0,75.71203433,0.02290458932091421,0.01621476983795103,0.008277947357914081,7,10,15,
556,0,16579,0,27507,0,11356,0,0,76.733389598,0.02237756970669885,0.016212451350284266,0.008314817425595237,10,10,15,
13119,0,19093,0,26210,0,39172,0,0,77.740124326,0.021724035485838147,0.016213617678449605,0.0084348586227396,7,11,15,
14949,0,15455,0,26210,0,61857,0,0,78.756228818,0.021184800792489564,0.016215313529537142,0.008515392653923093,7,11,15,
14655,0,12754,0,28202,0,36625,0,0,79.768102561,0.020796083104880018,0.016203480205495807,0.00864699821865376,9,10,15,
12581,0,19245,0,26210,0,44625,0,0,80.774961531,0.0201927080219695,0.016195907210449067,0.008739702736613916,7,10,15,
6611,0,19129,0,26210,0,44320,0,0,81.790022006,0.019669532387866732,0.016196109427005185,0.008858300363987137,12,13,15,
3064,0,19871,0,26210,0,45753,0,0,82.801993201,0.01915475976159732,0.016189261993191477,0.008961706967393606,9,10,15,
3064,0,21082,0,25858,0,58298,0,0,83.820042182,0.018662053078923147,0.016189540464973475,0.009039643302378967,11,14,15,
3064,0,19187,0,27944,0,52667,0,0,84.820132598,0.018260734155916367,0.016176039520570475,0.009121781365733115,7,11,15,
3064,0,17564,0,25648,0,65902,0,0,85.821351872,0.017921976073123378,0.016173616382019425,0.009181604763990266,7,11,15,
