UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
30867,0,0,0,0,0,0,0,0,16.066303132,0.011629482965517223,0,0,14,15,15,
21086,0,0,0,0,0,0,0,0,17.086252476,0.014243126025974015,0,0,14,15,15,
688,0,0,0,0,0,0,0,0,18.368310465,0.02037628002499998,0,0,14,14,15,
66377,0,0,0,0,0,0,0,0,19.602958062,0.0179104017605042,0,0,12,15,15,
70373,0,0,0,0,0,0,0,0,20.615555343,0.01652200102821316,0,0,14,15,15,
66502,0,0,0,0,0,0,0,0,21.628354387,0.015864832799007435,0,0,14,15,15,
67692,0,0,0,0,0,0,0,0,22.756496715,0.015419109772916658,0,0,14,14,15,
60482,0,0,0,0,0,0,0,0,23.767984972,0.015290705141818173,0,0,14,14,15,
107755,0,0,0,0,0,0,0,0,24.781741125,0.01415599468721804,0,0,14,15,15,
78533,0,0,0,0,0,0,0,0,25.795000851,0.013807503737748339,0,0,14,15,15,
61610,0,0,0,0,0,0,0,0,26.855975501,0.013832263151331714,0,0,14,15,15,
108184,0,0,0,0,0,0,0,0,27.866871025,0.013180367917285258,0,0,14,14,15,
101087,0,0,0,0,0,0,0,0,28.885680624,0.012701793980151227,0,0,12,14,15,
73802,0,0,0,0,0,0,0,0,29.905229615,0.012634974664041992,0,0,9,12,15,
53432,0,0,0,0,0,0,0,0,30.918622674,0.01271023597697368,0,0,10,10,15,
38693,0,0,0,0,0,0,0,0,31.957993918,0.012847613953161587,0,0,6,10,15,
28011,0,0,0,0,0,0,0,0,32.965306048,0.013184122154716973,0,0,10,12,15,
13847,0,0,0,0,0,0,0,0,33.985988107,0.013688570102810643,0,0,14,14,15,
30472,0,0,0,0,0,0,0,0,35.099454902,0.01399684596489971,0,0,14,15,15,
29938,0,0,0,0,0,0,0,0,36.135903337,0.014243921864077665,0,0,12,14,15,
22832,0,0,0,0,0,0,0,19607,37.136061663,0.014544735093982417,0,0.006117744694029849,14,15,15,
16136,0,0,0,0,0,0,0,23087,38.137991742,0.014692200790139906,0,0.0062992035172413805,13,14,15,
10132,0,0,0,0,0,0,0,22273,39.145124144,0.015068148183673467,0,0.006475151128146458,12,14,15,
1221,0,0,0,19563,0,0,0,19591,40.148009732,0.015690951145394733,0.01577818234090923,0.006672123686514893,14,14,15,
55214,0,0,0,27219,0,0,0,22787,41.154943742,0.015585440884494662,0.015892651226415182,0.00665026412983426,10,10,15,
28121,0,0,0,26080,0,0,0,19973,42.162499452,0.015553526491753207,0.015776143521212177,0.006750426085846876,9,11,15,
27774,0,0,0,26080,0,0,0,20922,43.167100758,0.015775396820895522,0.015840879361607194,0.006789600869391833,10,14,15,
20617,0,0,0,25439,0,0,0,21016,44.180013904,0.015892799966022265,0.01597412871886125,0.006831239715909097,11,12,15,
22041,0,0,0,26605,0,0,0,7044,45.18518798,0.01603802419390104,0.015900907269794748,0.006876330460117553,13,14,15,
52017,0,0,0,26080,0,0,0,0,46.205715355,0.015961485617468216,0.015893593410000014,0,13,14,15,
24031,0,0,0,27164,0,0,0,0,47.213531352,0.01619670527765727,0.01597501882646423,0,11,14,15,
39573,0,0,0,26080,0,0,0,0,48.224563497,0.016212053916271722,0.01609058043846156,0,12,14,15,
22985,0,0,0,26963,0,0,0,0,49.22742923,0.016365025140206185,0.01610890869191052,0,11,14,15,
10554,0,0,0,27988,0,0,0,0,50.27821691,0.016530672441836734,0.016161722588509335,0,13,14,15,
28138,0,0,0,26785,0,0,0,0,51.327357973,0.016643336646676662,0.016210110546875024,0,7,10,15,
17669,0,0,0,27560,0,0,0,0,52.331406414,0.016817132642400392,0.016233328505221956,0,8,12,15,
21142,0,0,0,26260,0,0,0,0,53.354239953,0.01696599865588803,0.01628812445939396,0,10,11,15,
6336,0,0,0,26260,0,0,0,0,54.357235187,0.017370198391638635,0.01632083591402717,0,8,10,15,
24239,0,0,0,27549,0,0,0,0,55.36288872,0.01754932714643363,0.01625370856342496,0,10,10,15,
11563,0,0,0,26822,0,0,0,0,56.367972476,0.01780004369687062,0.016282193095427448,0,9,10,15,
32241,0,0,0,26260,0,0,0,0,57.418335649,0.01783392176073059,0.016324558499530527,0,8,10,15,
22397,0,0,0,25698,0,0,0,0,58.424384082,0.017978611111310588,0.01631681505075691,0,7,11,15,
32800,0,0,0,28647,0,0,0,0,59.429105892,0.018002514018876203,0.016303892577085095,0,7,11,15,
1835,0,0,0,25849,0,0,0,0,60.460032039,0.018393462496497367,0.016323829280321292,0,9,10,15,
22033,0,0,0,27435,0,0,0,0,61.485158129,0.018476347661650898,0.016302407907421584,0,7,11,15,
13389,0,0,0,23634,0,0,0,19129,62.486033826,0.01864029230828025,0.0163505570507353,0.006933032912746591,7,11,15,
9118,0,0,0,29411,0,0,0,23265,63.498051698,0.01882764426129168,0.016242675496493695,0.006850413198917462,6,10,15,
10620,0,0,0,26260,0,0,0,22573,64.510023281,0.01908501948010054,0.01622910572053873,0.006836590208230964,9,10,15,
21342,0,0,0,23374,0,0,0,2027,65.51707275,0.01918183262103092,0.016336533504879645,0.006828973645769941,7,11,14,
16263,0,0,0,28886,0,7783,0,0,66.526431123,0.019350180855397147,0.016298327958177292,0.0069888941077738635,7,11,15,
11277,0,0,0,27674,0,15688,0,0,67.527404986,0.019536351850060456,0.01628906521093752,0.007382980411359737,7,11,15,
17561,0,0,0,27435,0,198,0,0,68.56724868,0.01969707990481879,0.01627942198435691,0.007585939710601736,6,10,15,
20615,0,0,0,25085,0,53271,0,0,69.605986012,0.01975225479396787,0.01630326863468015,0.007611705128078832,10,11,15,
12502,0,0,0,29145,0,43359,0,0,70.61803835,0.01987962179040989,0.016272119771521397,0.007885503937799057,9,10,15,
6232,0,0,0,25987,0,32596,0,0,71.62054988,0.019967109103886098,0.016304200902887152,0.008152581567342701,9,10,15,
580,0,0,0,29506,0,30435,0,0,72.629749416,0.0201961360149827,0.016230668723490622,0.008521848672114413,9,10,15,
17772,0,0,0,27904,0,86629,0,0,73.662095697,0.020308859860995048,0.016220048835299913,0.00858772680253536,8,10,15,
19289,0,0,0,25849,0,147874,0,0,74.663296567,0.020431163596998113,0.016248828592256227,0.008459398943610738,5,10,15,
21039,0,0,0,27435,0,137419,0,0,75.664264604,0.02048969843881699,0.016242261140204287,0.008396869186295512,10,10,15,
19641,0,0,0,25849,0,138412,0,0,76.677792143,0.020596919341124897,0.016238344636980123,0.008311853196370976,2,11,15,
22277,0,0,0,26671,0,122214,0,0,77.694653476,0.02061231549371181,0.016220742720070434,0.00828148627011495,9,10,15,
18946,0,0,0,26260,0,116161,0,0,78.700931783,0.020702069661936846,0.016215807113256125,0.008270141266910426,8,10,15,
16006,0,0,0,26671,0,124118,0,0,79.70807702,0.020727379559203625,0.016193052306984534,0.00822792582201324,10,12,15,
12392,0,0,0,26822,0,131574,0,0,80.71413871,0.02087372534903046,0.016206698472052233,0.00817537535901694,11,12,15,
12718,0,0,0,26671,0,101697,0,0,81.7195151,0.021018963411461897,0.01621954246594983,0.008182842863316265,12,14,15,
10938,0,0,0,25698,0,111144,0,0,82.724504684,0.02119690199215551,0.016218488508369027,0.008172100661524224,14,15,15,
13611,0,0,0,28122,0,100224,0,0,83.73412702,0.021331708956742128,0.01620199055433132,0.008195388533253805,11,12,15,
13397,0,0,0,26260,0,128002,0,0,84.741313746,0.021463299716297773,0.016206977002229665,0.008162886809169054,9,10,15,
15450,0,0,0,27610,0,103142,0,0,85.751232657,0.02158995087009965,0.016210716683617885,0.00817205152108768,14,14,15,
16348,0,0,0,26260,0,74379,0,0,86.767050818,0.021674326201578414,0.01622631946870556,0.008238253328281459,9,10,15,
17466,0,0,0,27435,0,57081,0,0,87.767370222,0.021729505624431433,0.01621906340918582,0.008352171213071196,8,11,15,
17428,0,0,0,26260,0,45956,0,0,88.775856338,0.021722337053828887,0.016215134377770217,0.008472521349869448,7,11,15,
