UE1: web-rtc,UE1: sipp,UE1: web-server,UE2: web-rtc,UE2: sipp,UE2: web-server,UE3: web-rtc,UE3: sipp,UE3: web-server,Time,UE1-Jitter,UE2-Jitter,UE3-Jitter,UE1-CQI,UE2-CQI,UE3-CQI
23951,0,0,0,0,0,0,0,0,19.34829602,0.009092899763636355,0,0,14,14,15,
25547,0,0,0,0,0,0,0,0,20.760013732,0.013276187635761586,0,0,13,14,15,
73911,0,0,0,0,0,0,0,0,21.774635999,0.012792777859574469,0,0,13,14,15,
77481,0,0,0,0,0,0,0,0,22.796423805,0.012510481797507793,0,0,10,15,15,
92789,0,0,0,0,0,0,0,0,23.816075096,0.01183011980235295,0,0,14,15,15,
94966,0,0,0,0,0,0,0,0,24.829748818,0.011367374274952928,0,0,14,14,15,
78213,0,0,0,0,0,0,0,0,25.838044566,0.011446686815831992,0,0,13,15,15,
55251,0,0,0,0,0,0,0,0,26.887984134,0.011753377848837211,0,0,12,15,15,
58916,0,0,0,0,0,0,0,0,27.937974171,0.012024735613756615,0,0,14,15,15,
48582,0,0,0,0,0,0,0,0,28.952463237,0.0123698465379902,0,0,14,14,15,
71961,0,0,0,0,0,0,0,0,29.96005979,0.012303784478935703,0,0,14,14,14,
66929,0,0,0,0,0,0,0,0,30.979481191,0.012389110161554195,0,0,14,14,15,
75621,0,0,0,0,0,0,0,0,32.058143759,0.012311927630394001,0,0,13,14,15,
67126,0,0,0,0,0,0,0,0,33.076330601,0.0123858748115688,0,0,11,11,15,
46674,0,0,0,0,0,0,0,0,34.104196212,0.012579427641729011,0,0,9,10,15,
27400,0,0,0,0,0,0,0,0,35.105979692,0.012957566629213484,0,0,10,10,15,
16256,0,0,0,0,0,0,0,0,36.157966625,0.013415620483568076,0,0,11,14,15,
25851,0,0,0,0,0,0,0,0,37.15802248,0.01381932217960426,0,0,14,14,15,
30662,0,0,0,0,0,0,0,0,38.186587708,0.014183005017751478,0,0,14,15,15,
43757,0,0,0,0,0,0,0,0,39.218609404,0.014341979265436481,0,0,14,14,15,
50825,0,0,0,0,0,0,0,14318,40.266237108,0.014428275685714288,0,0.005967662928571449,14,14,15,
40154,0,0,0,0,0,0,0,25967,41.27000247,0.014558397157687255,0,0.00589547597777777,14,14,15,
39873,0,0,0,0,0,0,0,25028,42.281480364,0.014758072804458601,0,0.005848264678733028,10,14,15,
41083,0,0,0,14383,0,0,0,26099,43.302037342,0.014896348929629632,0.015531761374999897,0.005852018850649356,12,14,15,
37109,0,0,0,27183,0,0,0,22919,44.32793609,0.015050356225748506,0.01575898706382972,0.005968806757457851,13,14,15,
31610,0,0,0,23472,0,0,0,24616,45.331926905,0.015249002668224303,0.015759551612244873,0.005976943152614731,9,14,15,
21232,0,0,0,28688,0,0,0,19937,46.337974014,0.015501124783629087,0.015274633641509432,0.006118515144052046,11,14,15,
11926,0,0,0,26080,0,0,0,20678,47.340128114,0.015788860143018665,0.015419319357933562,0.0062651902714521476,13,14,15,
21152,0,0,0,26080,0,0,0,9079,48.350041958,0.016006447732073385,0.015475777966666661,0.0063767653811764744,11,12,15,
17682,0,0,0,26639,0,0,0,0,49.378996501,0.016035196813586967,0.01566949378461537,0,14,15,15,
25332,0,0,0,26080,0,0,0,0,50.383388321,0.016210104600746282,0.01584359897995545,0,14,15,15,
22954,0,0,0,26080,0,0,0,0,51.386369596,0.016420320488226076,0.015977459218503933,0,12,14,15,
24488,0,0,0,26963,0,0,0,0,52.389430475,0.016627821108316235,0.01600801399824253,0,11,13,15,
20216,0,0,0,26626,0,0,0,0,53.416193022,0.016843456288753812,0.016075628985691568,0,14,15,15,
26166,0,0,0,25849,0,0,0,0,54.419230383,0.016914027667992063,0.016130566068413385,0,10,10,15,
31945,0,0,0,26671,0,0,0,0,55.424139241,0.01698998930840215,0.016177476619812576,0,11,14,15,
23743,0,0,0,27024,0,0,0,0,56.429017696,0.017121521588962903,0.016184514351485137,0,10,11,15,
36561,0,0,0,26260,0,0,0,0,57.453007371,0.017199163467936814,0.016179225116493643,0,10,11,15,
31509,0,0,0,28122,0,0,0,0,58.501445231,0.017284732006366547,0.01608664869892472,0,10,10,15,
14633,0,0,0,26260,0,0,0,0,59.526259505,0.017414584811574714,0.016141088462082905,0,11,11,15,
